Travel;RW_X;RW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SWL1_1X;SWL1_1Y;SWL1_2X;SWL1_2Y;L1L2_1X;L1L2_1Y;L1L2_2X;L1L2_2Y;FRL2_X;FRL2_Y;
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
10;0.0;70.1;1.4;232.5;-1.4;-232.5;167.4;15.9;-167.4;-15.9;167.4;15.9;-167.4;-86.0;167.4;86.0;-168.8;-318.5;
20;0.0;147.0;6.1;472.6;-6.1;-472.6;354.2;22.3;-354.2;-22.3;354.2;22.3;-354.2;-169.4;354.2;169.4;-360.3;-642.0;
30;0.0;230.5;13.7;719.8;-13.7;-719.8;560.3;18.5;-560.3;-18.5;560.3;18.5;-560.3;-249.0;560.3;249.0;-574.0;-968.9;
40;0.0;320.4;23.9;974.0;-23.9;-974.0;785.1;3.5;-785.1;-3.5;785.1;3.5;-785.1;-323.9;785.1;323.9;-809.0;-1297.9;
50;0.0;416.4;36.4;1234.7;-36.4;-1234.7;1028.1;-23.2;-1028.1;23.2;1028.1;-23.2;-1028.1;-393.2;1028.1;393.2;-1064.4;-1627.9;
60;0.0;518.2;50.6;1501.6;-50.6;-1501.6;1288.5;-61.8;-1288.5;61.8;1288.5;-61.8;-1288.5;-456.4;1288.5;456.4;-1339.1;-1958.0;
70;0.0;625.4;65.8;1774.4;-65.8;-1774.4;1565.7;-112.5;-1565.7;112.5;1565.7;-112.5;-1565.7;-512.9;1565.7;512.9;-1631.5;-2287.2;
80;0.0;737.5;81.4;2052.6;-81.4;-2052.6;1858.9;-175.0;-1858.9;175.0;1858.9;-175.0;-1858.9;-562.6;1858.9;562.6;-1940.2;-2615.2;
90;0.0;854.2;96.3;2336.1;-96.3;-2336.1;2167.0;-248.7;-2167.0;248.7;2167.0;-248.7;-2167.0;-605.5;2167.0;605.5;-2263.4;-2941.5;
100;0.0;974.7;109.7;2624.3;-109.7;-2624.3;2489.5;-332.8;-2489.5;332.8;2489.5;-332.8;-2489.5;-641.9;2489.5;641.9;-2599.2;-3266.2;
110;0.0;1098.7;120.1;2917.0;-120.1;-2917.0;2825.4;-426.2;-2825.4;426.2;2825.4;-426.2;-2825.4;-672.5;2825.4;672.5;-2945.5;-3589.5;
120;0.0;1225.3;126.3;3213.7;-126.3;-3213.7;3174.1;-527.2;-3174.1;527.2;3174.1;-527.2;-3174.1;-698.2;3174.1;698.2;-3300.4;-3911.8;
130;0.0;1354.0;126.4;3514.0;-126.4;-3514.0;3535.0;-633.9;-3535.0;633.9;3535.0;-633.9;-3535.0;-720.0;3535.0;720.0;-3661.4;-4234.1;
140;0.0;1483.8;118.4;3817.6;-118.4;-3817.6;3907.8;-744.1;-3907.8;744.1;3907.8;-744.1;-3907.8;-739.7;3907.8;739.7;-4026.2;-4557.3;
150;0.0;1613.9;100.0;4123.7;-100.0;-4123.7;4292.2;-854.6;-4292.2;854.6;4292.2;-854.6;-4292.2;-759.3;4292.2;759.3;-4392.2;-4883.0;
160;0.0;1743.2;68.1;4431.8;-68.1;-4431.8;4688.7;-962.0;-4688.7;962.0;4688.7;-962.0;-4688.7;-781.2;4688.7;781.2;-4756.8;-5213.0;
170;0.0;1870.6;19.0;4741.0;-19.0;-4741.0;5098.2;-1061.7;-5098.2;1061.7;5098.2;-1061.7;-5098.2;-808.9;5098.2;808.9;-5117.3;-5549.9;
180;0.0;1994.8;-51.9;5050.1;51.9;-5050.1;5523.3;-1147.8;-5523.3;1147.8;5523.3;-1147.8;-5523.3;-847.0;5523.3;847.0;-5471.3;-5897.1;
190;0.0;2114.4;-151.1;5357.6;151.1;-5357.6;5969.2;-1212.4;-5969.2;1212.4;5969.2;-1212.4;-5969.2;-902.0;5969.2;902.0;-5818.1;-6259.6;
200;0.0;2229.0;-287.7;5661.1;287.7;-5661.1;6448.8;-1244.0;-6448.8;1244.0;6448.8;-1244.0;-6448.8;-985.0;6448.8;985.0;-6161.1;-6646.1;
207;0.0;2307.3;-413.2;5869.2;413.2;-5869.2;6821.4;-1236.8;-6821.4;1236.8;6821.4;-1236.8;-6821.4;-1070.5;6821.4;1070.5;-6408.2;-6939.7;

RW = force at Rear Axle on Frame
SHK1 = force at Shock eye 1 on Frame
SHK2 = force at Shock eye 2 on Frame
L1FR = force at First link fix pivot on Frame
SWL1_1 = force at Swingarm/Link pivot on Frame
SWL1_2 = force at Swingarm/Link pivot on Frame
L1L2_1 = force at Rear bar/Rocker pivot on Frame
L1L2_2 = force at Rear bar/Rocker pivot on Frame
FRL2 = force at Second link fix pivot on Frame
