Travel;RW_X;RW_Y;BB_X;BB_Y;FW_X;FW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SWL1_X;SWL1_Y;L1L2_X;L1L2_Y;FRL2_X;FRL2_Y;IC_X;IC_Y;CC_X;CC_Y;CG_X;CG_Y;CGAR_X;CGAR_Y;
0;-444.9;10.4;0.0;0.0;831.7;29.4;69.7;238.2;69.9;13.2;13.9;90.4;-57.8;81.2;-12.7;269.9;15.7;207.2;65.5;97.0;0.0;85.9;12.3;595.1;12.3;595.1;
10;-446.5;20.4;0.0;0.0;831.7;29.4;71.3;235.3;69.9;13.2;13.9;90.4;-58.0;83.6;-9.3;271.4;15.7;207.2;59.3;94.7;8.1;87.2;12.3;595.1;12.3;595.1;
20;-447.8;30.4;0.0;0.0;831.7;29.4;72.7;232.2;69.9;13.2;13.9;90.4;-58.2;85.8;-5.7;272.7;15.7;207.2;53.0;92.8;15.9;88.2;12.3;595.1;12.3;595.1;
30;-449.0;40.4;0.0;0.0;831.7;29.4;74.0;229.0;69.9;13.2;13.9;90.4;-58.3;88.0;-2.1;273.7;15.7;207.2;46.5;91.5;23.3;89.1;12.3;595.1;12.3;595.1;
40;-449.9;50.4;0.0;0.0;831.7;29.4;75.2;225.7;69.9;13.2;13.9;90.4;-58.4;90.1;1.6;274.6;15.7;207.2;39.9;90.5;30.0;89.7;12.3;595.1;12.3;595.1;
50;-450.6;60.4;0.0;0.0;831.7;29.4;76.1;222.4;69.9;13.2;13.9;90.4;-58.3;92.0;5.4;275.3;15.7;207.2;33.3;89.9;35.8;90.1;12.3;595.1;12.3;595.1;
60;-451.1;70.4;0.0;0.0;831.7;29.4;76.9;218.9;69.9;13.2;13.9;90.4;-58.3;93.9;9.3;275.8;15.7;207.2;26.6;89.8;40.5;90.3;12.3;595.1;12.3;595.1;
70;-451.4;80.4;0.0;0.0;831.7;29.4;77.4;215.4;69.9;13.2;13.9;90.4;-58.2;95.6;13.2;276.0;15.7;207.2;19.8;90.0;43.9;90.4;12.3;595.1;12.3;595.1;
80;-451.5;90.4;0.0;0.0;831.7;29.4;77.8;211.9;69.9;13.2;13.9;90.4;-58.0;97.2;17.2;276.0;15.7;207.2;13.1;90.5;45.7;90.5;12.3;595.1;12.3;595.1;
90;-451.4;100.4;0.0;0.0;831.7;29.4;78.0;208.2;69.9;13.2;13.9;90.4;-57.9;98.6;21.2;275.8;15.7;207.2;6.3;91.3;45.8;90.5;12.3;595.1;12.3;595.1;
100;-451.1;110.4;0.0;0.0;831.7;29.4;77.9;204.5;69.9;13.2;13.9;90.4;-57.7;100.0;25.2;275.4;15.7;207.2;-0.5;92.3;43.9;90.5;12.3;595.1;12.3;595.1;
110;-450.6;120.4;0.0;0.0;831.7;29.4;77.7;200.8;69.9;13.2;13.9;90.4;-57.6;101.2;29.3;274.7;15.7;207.2;-7.3;93.6;39.9;90.7;12.3;595.1;12.3;595.1;
120;-449.9;130.4;0.0;0.0;831.7;29.4;77.2;197.0;69.9;13.2;13.9;90.4;-57.4;102.2;33.4;273.7;15.7;207.2;-14.2;95.1;33.6;91.2;12.3;595.1;12.3;595.1;
130;-449.0;140.4;0.0;0.0;831.7;29.4;76.4;193.2;69.9;13.2;13.9;90.4;-57.2;103.1;37.5;272.5;15.7;207.2;-21.3;96.7;24.8;92.0;12.3;595.1;12.3;595.1;
140;-447.9;150.4;0.0;0.0;831.7;29.4;75.4;189.4;69.9;13.2;13.9;90.4;-57.1;103.9;41.6;271.0;15.7;207.2;-28.6;98.5;13.1;93.3;12.3;595.1;12.3;595.1;
150;-446.5;160.4;0.0;0.0;831.7;29.4;74.1;185.5;69.9;13.2;13.9;90.4;-57.0;104.5;45.7;269.1;15.7;207.2;-36.2;100.4;-1.9;95.4;12.3;595.1;12.3;595.1;
160;-444.9;170.4;0.0;0.0;831.7;29.4;72.5;181.6;69.9;13.2;13.9;90.4;-56.9;104.9;49.9;267.0;15.7;207.2;-44.3;102.3;-20.9;98.4;12.3;595.1;12.3;595.1;
170;-443.1;180.4;0.0;0.0;831.7;29.4;70.6;177.7;69.9;13.2;13.9;90.4;-56.8;105.1;54.0;264.4;15.7;207.2;-53.1;104.3;-44.7;102.7;12.3;595.1;12.3;595.1;
180;-441.0;190.4;0.0;0.0;831.7;29.4;68.3;173.8;69.9;13.2;13.9;90.4;-56.9;105.1;58.1;261.5;15.7;207.2;-63.0;106.4;-74.9;109.0;12.3;595.1;12.3;595.1;
190;-438.7;200.4;0.0;0.0;831.7;29.4;65.5;169.8;69.9;13.2;13.9;90.4;-56.9;104.8;62.2;258.0;15.7;207.2;-74.7;108.4;-113.7;118.2;12.3;595.1;12.3;595.1;
200;-436.0;210.4;0.0;0.0;831.7;29.4;62.2;165.7;69.9;13.2;13.9;90.4;-57.1;104.1;66.3;253.9;15.7;207.2;-89.3;110.3;-164.6;132.0;12.3;595.1;12.3;595.1;
207;-433.8;217.4;0.0;0.0;831.7;29.4;59.4;162.8;69.9;13.2;13.9;90.4;-57.2;103.3;69.2;250.5;15.7;207.2;-102.5;111.5;?;?;12.3;595.1;12.3;595.1;

RW = Rear Axle
BB = Bottom bracket
FW = Front Axle
SHK1 = Shock eye 1
SHK2 = Shock eye 2
L1FR = First link fix pivot
SWL1 = Swingarm/Link pivot
L1L2 = Rear bar/Rocker pivot
FRL2 = Second link fix pivot
IC = Instant center
CC = Center of curvature
CG = Center of Gravity
CGAR = Anti-rise Center of Gravity
