Travel;Shock_curve;Gradient;
0;0.000;78.351;
1;78.351;78.351;
2;156.702;78.351;
3;235.053;78.351;
4;313.404;78.351;
5;391.755;78.351;
6;470.106;78.351;
7;548.457;78.351;
8;626.807;78.351;
9;705.158;78.351;
10;783.509;78.351;
11;861.860;78.351;
12;940.211;78.351;
13;1018.562;78.351;
14;1096.913;78.351;
15;1175.264;78.351;
16;1253.615;78.351;
17;1331.966;78.351;
18;1410.317;78.351;
19;1488.668;78.351;
20;1567.019;78.351;
21;1645.370;78.351;
22;1723.720;78.351;
23;1802.071;78.351;
24;1880.422;78.351;
25;1958.773;78.351;
26;2037.124;78.351;
27;2115.475;78.351;
28;2193.826;78.351;
29;2272.177;78.351;
30;2350.528;78.351;
31;2428.879;78.351;
32;2507.230;78.351;
33;2585.581;78.351;
34;2663.932;78.351;
35;2742.283;78.351;
36;2820.633;78.351;
37;2898.984;78.351;
38;2977.335;78.351;
39;3055.686;78.351;
40;3134.037;78.351;
41;3212.388;78.351;
42;3290.739;78.351;
43;3369.090;78.351;
44;3447.441;78.351;
45;3525.792;78.351;
46;3604.143;78.351;
47;3682.494;78.351;
48;3760.845;78.351;
49;3839.196;78.351;
50;3917.547;78.351;
51;3995.897;78.351;
52;4074.248;78.351;
53;4152.599;78.351;
54;4230.950;78.351;
55;4309.301;78.351;
56;4387.652;78.351;
57;4466.003;78.351;
58;4544.354;78.351;
59;4622.705;78.351;
60;4701.056;78.351;
61;4779.407;78.351;
62;4857.758;78.351;
63;4936.109;78.351;
64;5014.460;78.351;
65;5092.810;78.351;
66;5171.161;78.351;
67;5249.512;78.351;
68;5327.863;78.351;
69;5406.214;78.351;
70;5484.565;78.351;
71;5562.916;78.351;
72;5641.267;78.351;
73;5719.618;78.351;
74;5797.969;78.351;
75;5876.320;78.351;
