Travel;RW_X;RW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SLP1_1X;SLP1_1Y;SLP1_2X;SLP1_2Y;SLP2_1X;SLP2_1Y;SLP2_2X;SLP2_2Y;SLP3_X;SLP3_Y;SWL1_1X;SWL1_1Y;SWL1_2X;SWL1_2Y;L1L2_1X;L1L2_1Y;L1L2_2X;L1L2_2Y;FRL2_X;FRL2_Y;
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
10;0.0;65.8;151.7;150.1;-151.7;-150.1;-130.7;-40.2;163.2;269.0;-163.2;-269.0;-163.2;-269.0;163.2;269.0;-11.5;-118.9;130.7;-25.5;-130.7;25.5;130.7;-25.5;-130.7;25.5;294.0;243.5;
20;0.0;136.4;307.1;304.0;-307.1;-304.0;-273.4;-76.9;348.3;530.9;-348.3;-530.9;-348.3;-530.9;348.3;530.9;-41.2;-226.9;273.4;-59.5;-273.4;59.5;273.4;-59.5;-273.4;59.5;621.7;471.4;
30;0.0;212.0;466.0;461.8;-466.0;-461.8;-428.6;-109.3;554.0;785.0;-554.0;-785.0;-554.0;-785.0;554.0;785.0;-87.9;-323.2;428.6;-102.7;-428.6;102.7;428.6;-102.7;-428.6;102.7;982.6;682.4;
40;0.0;292.6;628.3;623.7;-628.3;-623.7;-596.8;-136.9;778.9;1030.7;-778.9;-1030.7;-778.9;-1030.7;778.9;1030.7;-150.5;-407.0;596.8;-155.8;-596.8;155.8;596.8;-155.8;-596.8;155.8;1375.7;875.0;
50;0.0;378.6;793.8;789.8;-793.8;-789.8;-778.7;-158.9;1021.6;1267.2;-1021.6;-1267.2;-1021.6;-1267.2;1021.6;1267.2;-227.8;-477.4;778.7;-219.6;-778.7;219.6;778.7;-219.6;-778.7;219.6;1800.3;1047.6;
60;0.0;469.8;962.2;960.5;-962.2;-960.5;-974.7;-174.7;1280.8;1493.8;-1280.8;-1493.8;-1280.8;-1493.8;1280.8;1493.8;-318.6;-533.3;974.7;-295.1;-974.7;295.1;974.7;-295.1;-974.7;295.1;2255.5;1198.7;
70;0.0;566.6;1133.3;1135.9;-1133.3;-1135.9;-1185.6;-183.5;1554.8;1709.5;-1554.8;-1709.5;-1554.8;-1709.5;1554.8;1709.5;-421.5;-573.6;1185.6;-383.1;-1185.6;383.1;1185.6;-383.1;-1185.6;383.1;2740.4;1326.4;
80;0.0;668.8;1306.7;1316.4;-1306.7;-1316.4;-1412.1;-184.3;1841.8;1913.6;-1841.8;-1913.6;-1841.8;-1913.6;1841.8;1913.6;-535.1;-597.2;1412.1;-484.5;-1412.1;484.5;1412.1;-484.5;-1412.1;484.5;3253.9;1429.0;
90;0.0;776.7;1482.1;1502.4;-1482.1;-1502.4;-1655.0;-176.2;2139.9;2105.1;-2139.9;-2105.1;-2139.9;-2105.1;2139.9;2105.1;-657.8;-602.7;1655.0;-600.5;-1655.0;600.5;1655.0;-600.5;-1655.0;600.5;3794.9;1504.6;
