Travel;Shock_curve;Gradient;
0;0.000;70.138;
1;70.138;70.138;
2;140.275;70.138;
3;210.413;70.138;
4;280.551;70.138;
5;350.688;70.138;
6;420.826;70.138;
7;490.963;70.138;
8;561.101;70.138;
9;631.239;70.138;
10;701.376;70.138;
11;771.514;70.138;
12;841.652;70.138;
13;911.789;70.138;
14;981.927;70.138;
15;1052.065;70.138;
16;1122.202;70.138;
17;1192.340;70.138;
18;1262.477;70.138;
19;1332.615;70.138;
20;1402.753;70.138;
21;1472.890;70.138;
22;1543.028;70.138;
23;1613.166;70.138;
24;1683.303;70.138;
25;1753.441;70.138;
26;1823.579;70.138;
27;1893.716;70.138;
28;1963.854;70.138;
29;2033.991;70.138;
30;2104.129;70.138;
31;2174.267;70.138;
32;2244.404;70.138;
33;2314.542;70.138;
34;2384.680;70.138;
35;2454.817;70.138;
36;2524.955;70.138;
37;2595.093;70.138;
38;2665.230;70.138;
39;2735.368;70.138;
40;2805.506;70.138;
41;2875.643;70.138;
42;2945.781;70.138;
43;3015.918;70.138;
44;3086.056;70.138;
45;3156.194;70.138;
46;3226.331;70.138;
47;3296.469;70.138;
48;3366.607;70.138;
49;3436.744;70.138;
50;3506.882;70.138;
51;3577.020;70.138;
52;3647.157;70.138;
53;3717.295;70.138;
54;3787.432;70.138;
55;3857.570;70.138;
56;3927.708;70.138;
57;3997.845;70.138;
58;4067.983;70.138;
59;4138.121;70.138;
60;4208.258;70.138;
61;4278.396;70.138;
62;4348.534;70.138;
63;4418.671;70.138;
64;4488.809;70.138;
65;4558.946;70.138;
66;4629.084;70.138;
67;4699.222;70.138;
68;4769.359;70.138;
69;4839.497;70.138;
70;4909.635;70.138;
71;4979.772;70.138;
72;5049.910;70.138;
73;5120.048;70.138;
74;5190.185;70.138;
75;5260.323;70.138;
