Travel;RW_X;RW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SWL1_1X;SWL1_1Y;SWL1_2X;SWL1_2Y;L1L2_1X;L1L2_1Y;L1L2_2X;L1L2_2Y;FRL2_X;FRL2_Y;
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
10;0.0;105.9;217.3;211.6;-217.3;-211.6;-217.8;86.6;217.8;-192.5;-217.8;192.5;217.8;-192.5;-217.8;192.5;435.1;19.1;
20;0.0;216.0;442.5;421.7;-442.5;-421.7;-439.2;186.0;439.2;-402.0;-439.2;402.0;439.2;-402.0;-439.2;402.0;881.7;19.7;
30;0.0;329.0;673.8;630.1;-673.8;-630.1;-662.6;291.1;662.6;-620.2;-662.6;620.2;662.6;-620.2;-662.6;620.2;1336.4;10.0;
40;0.0;444.8;909.9;837.4;-909.9;-837.4;-889.0;397.3;889.0;-842.1;-889.0;842.1;889.0;-842.1;-889.0;842.1;1799.0;-4.7;
50;0.0;563.8;1150.1;1044.2;-1150.1;-1044.2;-1120.9;501.0;1120.9;-1064.8;-1120.9;1064.8;1120.9;-1064.8;-1120.9;1064.8;2270.9;-20.7;
60;0.0;686.6;1393.9;1251.3;-1393.9;-1251.3;-1361.1;600.0;1361.1;-1286.6;-1361.1;1286.6;1361.1;-1286.6;-1361.1;1286.6;2755.0;-35.3;
70;0.0;814.3;1640.9;1459.8;-1640.9;-1459.8;-1613.6;692.4;1613.6;-1506.7;-1613.6;1506.7;1613.6;-1506.7;-1613.6;1506.7;3254.5;-46.9;
80;0.0;948.3;1891.1;1670.8;-1891.1;-1670.8;-1882.8;776.5;1882.8;-1724.8;-1882.8;1724.8;1882.8;-1724.8;-1882.8;1724.8;3773.9;-53.9;
90;0.0;1090.1;2144.3;1885.7;-2144.3;-1885.7;-2174.4;851.0;2174.4;-1941.1;-2174.4;1941.1;2174.4;-1941.1;-2174.4;1941.1;4318.7;-55.4;
100;0.0;1242.0;2400.3;2106.0;-2400.3;-2106.0;-2496.0;914.2;2496.0;-2156.2;-2496.0;2156.2;2496.0;-2156.2;-2496.0;2156.2;4896.3;-50.2;
110;0.0;1407.3;2659.1;2333.7;-2659.1;-2333.7;-2857.9;964.0;2857.9;-2371.3;-2857.9;2371.3;2857.9;-2371.3;-2857.9;2371.3;5517.0;-37.6;
120;0.0;1590.8;2920.8;2571.3;-2920.8;-2571.3;-3275.5;997.5;3275.5;-2588.3;-3275.5;2588.3;3275.5;-2588.3;-3275.5;2588.3;6196.3;-17.0;
130;0.0;1800.6;3185.2;2822.4;-3185.2;-2822.4;-3773.9;1010.2;3773.9;-2810.8;-3773.9;2810.8;3773.9;-2810.8;-3773.9;2810.8;6959.1;11.6;
140;0.0;2051.4;3452.5;3092.0;-3452.5;-3092.0;-4398.5;994.5;4398.5;-3045.9;-4398.5;3045.9;4398.5;-3045.9;-4398.5;3045.9;7851.0;46.1;
145;0.0;2201.0;3587.4;3236.3;-3587.4;-3236.3;-4784.1;971.7;4784.1;-3172.7;-4784.1;3172.7;4784.1;-3172.7;-4784.1;3172.7;8371.6;63.6;

RW = force at Rear Axle on Frame
SHK1 = force at Shock eye 1 on Frame
SHK2 = force at Shock eye 2 on Frame
L1FR = force at First link fix pivot on Frame
SWL1_1 = force at Swingarm/Link pivot on Frame
SWL1_2 = force at Swingarm/Link pivot on Frame
L1L2_1 = force at Link/Rocker pivot on Frame
L1L2_2 = force at Link/Rocker pivot on Frame
FRL2 = force at Rocker fix pivot on Frame
