Travel;RW_X;RW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SWL1_1X;SWL1_1Y;SWL1_2X;SWL1_2Y;L1L2_1X;L1L2_1Y;L1L2_2X;L1L2_2Y;FRL2_X;FRL2_Y;
0;0.0;0.0;0.1;0.0;-0.1;0.0;-0.1;0.0;0.1;0.0;-0.1;0.0;0.1;0.0;-0.1;0.0;0.2;0.0;
10;0.0;201.0;541.8;33.0;-541.8;-33.0;-601.8;-44.9;601.8;-156.1;-601.8;156.1;601.8;-156.1;-601.8;156.1;1143.6;-123.1;
20;0.0;361.5;946.6;44.9;-946.6;-44.9;-1082.3;-50.5;1082.3;-311.0;-1082.3;311.0;1082.3;-311.0;-1082.3;311.0;2028.9;-266.2;
30;0.0;499.2;1276.1;45.2;-1276.1;-45.2;-1495.6;-35.7;1495.6;-463.6;-1495.6;463.6;1495.6;-463.6;-1495.6;463.6;2771.7;-418.4;
40;0.0;624.7;1563.2;38.9;-1563.2;-38.9;-1874.3;-11.2;1874.3;-613.5;-1874.3;613.5;1874.3;-613.5;-1874.3;613.5;3437.5;-574.5;
50;0.0;744.9;1828.2;29.1;-1828.2;-29.1;-2241.3;16.1;2241.3;-761.1;-2241.3;761.1;2241.3;-761.1;-2241.3;761.1;4069.5;-732.0;
60;0.0;865.7;2085.0;17.5;-2085.0;-17.5;-2615.4;41.5;2615.4;-907.2;-2615.4;907.2;2615.4;-907.2;-2615.4;907.2;4700.4;-889.6;
70;0.0;992.1;2344.5;5.9;-2344.5;-5.9;-3014.7;60.8;3014.7;-1052.9;-3014.7;1052.9;3014.7;-1052.9;-3014.7;1052.9;5359.2;-1047.1;
80;0.0;1129.8;2616.6;-4.5;-2616.6;4.5;-3459.9;69.8;3459.9;-1199.6;-3459.9;1199.6;3459.9;-1199.6;-3459.9;1199.6;6076.5;-1204.1;
90;0.0;1285.6;2911.7;-12.1;-2911.7;12.1;-3976.9;63.0;3976.9;-1348.6;-3976.9;1348.6;3976.9;-1348.6;-3976.9;1348.6;6888.6;-1360.6;
100;0.0;1468.9;3242.2;-14.5;-3242.2;14.5;-4603.0;32.3;4603.0;-1501.3;-4603.0;1501.3;4603.0;-1501.3;-4603.0;1501.3;7845.3;-1515.8;
110;0.0;1694.4;3624.8;-8.8;-3624.8;8.8;-5397.3;-35.8;5397.3;-1658.6;-5397.3;1658.6;5397.3;-1658.6;-5397.3;1658.6;9022.2;-1667.4;
120;0.0;1987.3;4084.5;10.4;-4084.5;-10.4;-6463.7;-166.9;6463.7;-1820.4;-6463.7;1820.4;6463.7;-1820.4;-6463.7;1820.4;10548.2;-1810.0;
130;0.0;2398.1;4662.7;53.0;-4662.7;-53.0;-8012.9;-415.9;8012.9;-1982.2;-8012.9;1982.2;8012.9;-1982.2;-8012.9;1982.2;12675.6;-1929.2;

RW = force at Rear Axle on Frame
SHK1 = force at Shock eye 1 on Frame
SHK2 = force at Shock eye 2 on Frame
L1FR = force at First link fix pivot on Frame
SWL1_1 = force at Swingarm/Link pivot on Frame
SWL1_2 = force at Swingarm/Link pivot on Frame
L1L2_1 = force at Link/Rocker pivot on Frame
L1L2_2 = force at Link/Rocker pivot on Frame
FRL2 = force at Rocker fix pivot on Frame
