Travel;Shock_curve;Gradient;
0;0.095;178.855;
1;170.589;161.317;
2;323.137;144.845;
3;461.006;131.518;
4;586.742;120.450;
5;702.360;111.184;
6;809.475;103.370;
7;909.399;96.744;
8;1003.209;91.098;
9;1091.800;86.269;
10;1175.920;82.129;
11;1256.205;78.574;
12;1333.195;75.520;
13;1407.354;72.899;
14;1479.087;70.654;
15;1548.746;68.740;
16;1616.641;67.118;
17;1683.047;65.756;
18;1748.210;64.626;
19;1812.352;63.708;
20;1875.674;62.981;
21;1938.358;62.430;
22;2000.575;62.042;
23;2062.481;61.806;
24;2124.222;61.711;
25;2185.937;61.752;
26;2247.757;61.920;
27;2309.808;62.212;
28;2372.211;62.624;
29;2435.085;63.152;
30;2498.544;63.795;
31;2562.702;64.551;
32;2627.674;65.421;
33;2693.572;66.404;
34;2760.511;67.502;
35;2828.605;68.717;
36;2897.975;70.052;
37;2968.739;71.509;
38;3041.024;73.093;
39;3114.958;74.809;
40;3190.676;76.662;
41;3268.318;78.659;
42;3348.032;80.808;
43;3429.973;83.116;
44;3514.306;85.593;
45;3601.205;88.250;
46;3690.855;91.099;
47;3783.454;94.152;
48;3879.214;97.426;
49;3978.364;100.935;
50;4081.148;104.698;
51;4187.830;108.737;
52;4298.697;113.075;
53;4414.060;117.736;
54;4534.258;122.776;
55;4659.658;127.933;
