Travel;RW_X;RW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SWL1_1X;SWL1_1Y;SWL1_2X;SWL1_2Y;L1L2_1X;L1L2_1Y;L1L2_2X;L1L2_2Y;FRL2_X;FRL2_Y;
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
10;0.0;78.2;-31.9;-257.5;31.9;257.5;143.8;286.5;-111.9;-29.0;111.9;29.0;-111.9;-107.2;111.9;107.2;-143.8;-364.7;
20;0.0;164.7;-70.9;-523.5;70.9;523.5;311.1;575.2;-240.2;-51.7;240.2;51.7;-240.2;-216.4;240.2;216.4;-311.1;-739.9;
30;0.0;259.7;-116.9;-797.7;116.9;797.7;502.0;864.4;-385.1;-66.8;385.1;66.8;-385.1;-326.5;385.1;326.5;-502.0;-1124.2;
40;0.0;363.2;-169.8;-1079.8;169.8;1079.8;716.7;1152.7;-546.9;-72.9;546.9;72.9;-546.9;-436.0;546.9;436.0;-716.7;-1515.9;
50;0.0;474.9;-229.4;-1369.6;229.4;1369.6;954.7;1438.4;-725.3;-68.9;725.3;68.9;-725.3;-543.8;725.3;543.8;-954.7;-1913.4;
60;0.0;594.9;-295.4;-1666.7;295.4;1666.7;1215.5;1720.2;-920.1;-53.5;920.1;53.5;-920.1;-648.4;920.1;648.4;-1215.5;-2315.1;
70;0.0;722.7;-367.4;-1970.9;367.4;1970.9;1498.1;1996.8;-1130.8;-26.0;1130.8;26.0;-1130.8;-748.7;1130.8;748.7;-1498.1;-2719.6;
80;0.0;858.2;-444.7;-2281.8;444.7;2281.8;1801.3;2267.2;-1356.6;14.6;1356.6;-14.6;-1356.6;-843.6;1356.6;843.6;-1801.3;-3125.4;
90;0.0;1000.8;-526.8;-2599.1;526.8;2599.1;2123.5;2530.4;-1596.7;68.7;1596.7;-68.7;-1596.7;-932.0;1596.7;932.0;-2123.5;-3531.2;
100;0.0;1150.0;-612.8;-2922.7;612.8;2922.7;2462.5;2786.0;-1849.7;136.7;1849.7;-136.7;-1849.7;-1013.2;1849.7;1013.2;-2462.5;-3935.9;
110;0.0;1305.1;-701.6;-3252.2;701.6;3252.2;2815.8;3033.7;-2114.2;218.6;2114.2;-218.6;-2114.2;-1086.5;2114.2;1086.5;-2815.8;-4338.7;
120;0.0;1465.4;-792.1;-3587.5;792.1;3587.5;3180.8;3273.7;-2388.7;313.8;2388.7;-313.8;-2388.7;-1151.6;2388.7;1151.6;-3180.8;-4739.1;
130;0.0;1630.0;-882.7;-3928.3;882.7;3928.3;3553.9;3506.5;-2671.2;421.8;2671.2;-421.8;-2671.2;-1208.3;2671.2;1208.3;-3553.9;-5136.5;
140;0.0;1798.0;-971.9;-4274.5;971.9;4274.5;3931.6;3733.2;-2959.7;541.3;2959.7;-541.3;-2959.7;-1256.7;2959.7;1256.7;-3931.6;-5531.2;
150;0.0;1968.1;-1057.6;-4625.9;1057.6;4625.9;4309.5;3955.0;-3251.9;670.8;3251.9;-670.8;-3251.9;-1297.2;3251.9;1297.2;-4309.5;-5923.1;
160;0.0;2139.0;-1137.4;-4982.4;1137.4;4982.4;4682.8;4173.9;-3545.4;808.5;3545.4;-808.5;-3545.4;-1330.5;3545.4;1330.5;-4682.8;-6312.9;
170;0.0;2309.2;-1208.7;-5343.9;1208.7;5343.9;5045.9;4391.9;-3837.2;952.0;3837.2;-952.0;-3837.2;-1357.2;3837.2;1357.2;-5045.9;-6701.1;
180;0.0;2476.7;-1268.2;-5710.2;1268.2;5710.2;5392.5;4611.8;-4124.2;1098.4;4124.2;-1098.4;-4124.2;-1378.4;4124.2;1378.4;-5392.5;-7088.5;
190;0.0;2639.3;-1312.2;-6081.0;1312.2;6081.0;5714.9;4836.6;-4402.7;1244.4;4402.7;-1244.4;-4402.7;-1394.8;4402.7;1394.8;-5714.9;-7475.9;
200;0.0;2793.9;-1336.3;-6456.0;1336.3;6456.0;6004.2;5069.7;-4667.9;1386.3;4667.9;-1386.3;-4667.9;-1407.6;4667.9;1407.6;-6004.2;-7863.6;

RW = force at Rear Axle on Frame
SHK1 = force at Shock eye 1 on Frame
SHK2 = force at Shock eye 2 on Frame
L1FR = force at First link fix pivot on Frame
SWL1_1 = force at Swingarm/Link pivot on Frame
SWL1_2 = force at Swingarm/Link pivot on Frame
L1L2_1 = force at Rear bar/Rocker pivot on Frame
L1L2_2 = force at Rear bar/Rocker pivot on Frame
FRL2 = force at Second link fix pivot on Frame
