Travel;RW_X;RW_Y;BB_X;BB_Y;FW_X;FW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SWL1_X;SWL1_Y;L1L2_X;L1L2_Y;FRL2_X;FRL2_Y;IC_X;IC_Y;CC_X;CC_Y;CG_X;CG_Y;CGAR_X;CGAR_Y;
0;0.0;0.0;424.6;-19.3;1196.7;0.0;482.2;41.7;505.0;244.9;482.3;41.8;393.6;14.5;354.0;254.7;442.5;203.8;640.1;90.3;347.5;49.0;418.9;580.7;418.9;580.7;
10;-1.3;10.0;424.6;-19.3;1196.7;0.0;482.2;41.7;507.0;241.7;482.3;41.8;392.6;18.3;356.7;259.1;442.5;203.8;633.0;81.1;354.4;49.9;418.9;580.7;418.9;580.7;
20;-2.2;20.0;424.6;-19.3;1196.7;0.0;482.2;41.7;508.8;238.4;482.3;41.8;391.7;22.1;359.6;263.4;442.5;203.8;624.9;72.7;362.1;50.6;418.9;580.7;418.9;580.7;
30;-3.0;30.0;424.6;-19.3;1196.7;0.0;482.2;41.7;510.5;235.0;482.3;41.8;390.9;25.8;362.8;267.5;442.5;203.8;616.0;65.2;370.6;51.2;418.9;580.7;418.9;580.7;
40;-3.4;40.0;424.6;-19.3;1196.7;0.0;482.2;41.7;512.0;231.4;482.3;41.8;390.4;29.4;366.2;271.5;442.5;203.8;606.3;58.5;379.9;51.6;418.9;580.7;418.9;580.7;
50;-3.6;50.0;424.6;-19.3;1196.7;0.0;482.2;41.7;513.4;227.8;482.3;41.8;390.0;32.8;369.8;275.4;442.5;203.8;596.0;52.8;389.8;51.8;418.9;580.7;418.9;580.7;
60;-3.5;60.0;424.6;-19.3;1196.7;0.0;482.2;41.7;514.5;224.1;482.3;41.8;389.7;36.2;373.6;279.1;442.5;203.8;585.3;47.9;400.2;51.7;418.9;580.7;418.9;580.7;
70;-3.2;70.0;424.6;-19.3;1196.7;0.0;482.2;41.7;515.5;220.3;482.3;41.8;389.6;39.5;377.6;282.6;442.5;203.8;574.2;44.0;410.9;51.4;418.9;580.7;418.9;580.7;
80;-2.6;80.0;424.6;-19.3;1196.7;0.0;482.2;41.7;516.2;216.4;482.3;41.8;389.6;42.6;381.9;285.9;442.5;203.8;562.8;41.0;421.6;50.8;418.9;580.7;418.9;580.7;
90;-1.8;90.0;424.6;-19.3;1196.7;0.0;482.2;41.8;516.8;212.5;482.3;41.8;389.6;45.6;386.3;289.0;442.5;203.8;551.4;38.9;432.3;49.9;418.9;580.7;418.9;580.7;
100;-0.7;100.0;424.6;-19.3;1196.7;0.0;482.2;41.8;517.2;208.6;482.3;41.8;389.8;48.5;390.9;291.9;442.5;203.8;540.0;37.6;442.4;48.9;418.9;580.7;418.9;580.7;
110;0.5;110.0;424.6;-19.3;1196.7;0.0;482.2;41.8;517.3;204.6;482.3;41.8;390.0;51.2;395.7;294.5;442.5;203.8;528.7;37.0;451.6;47.7;418.9;580.7;418.9;580.7;
120;2.0;120.0;424.6;-19.3;1196.7;0.0;482.2;41.8;517.2;200.5;482.3;41.8;390.3;53.7;400.6;296.9;442.5;203.8;517.5;37.2;459.5;46.5;418.9;580.7;418.9;580.7;
130;3.7;130.0;424.6;-19.3;1196.7;0.0;482.2;41.8;517.0;196.5;482.3;41.8;390.7;56.1;405.8;299.0;442.5;203.8;506.6;38.0;465.7;45.4;418.9;580.7;418.9;580.7;
140;5.7;140.0;424.6;-19.3;1196.7;0.0;482.2;41.8;516.4;192.4;482.3;41.8;391.0;58.3;411.0;300.9;442.5;203.8;495.9;39.3;470.0;44.6;418.9;580.7;418.9;580.7;
150;7.9;150.0;424.6;-19.3;1196.7;0.0;482.2;41.8;515.7;188.3;482.3;41.8;391.4;60.4;416.4;302.5;442.5;203.8;485.6;41.1;471.9;44.2;418.9;580.7;418.9;580.7;
160;10.2;160.0;424.6;-19.3;1196.7;0.0;482.2;41.8;514.7;184.3;482.3;41.8;391.8;62.3;422.0;303.8;442.5;203.8;475.6;43.3;471.3;44.4;418.9;580.7;418.9;580.7;
170;12.9;170.0;424.6;-19.3;1196.7;0.0;482.2;41.8;513.5;180.3;482.3;41.8;392.2;64.0;427.6;304.8;442.5;203.8;465.9;45.8;468.1;45.2;418.9;580.7;418.9;580.7;
180;15.7;180.0;424.6;-19.3;1196.7;0.0;482.2;41.8;512.1;176.3;482.3;41.8;392.6;65.5;433.4;305.5;442.5;203.8;456.5;48.6;462.5;46.8;418.9;580.7;418.9;580.7;
190;18.8;190.0;424.6;-19.3;1196.7;0.0;482.2;41.8;510.4;172.3;482.3;41.8;393.0;66.9;439.3;305.8;442.5;203.8;447.4;51.6;453.7;49.5;418.9;580.7;418.9;580.7;
200;22.2;200.0;424.6;-19.3;1196.7;0.0;482.2;41.8;508.4;168.4;482.3;41.8;393.3;68.0;445.3;305.9;442.5;203.8;438.6;54.7;?;?;418.9;580.7;418.9;580.7;

RW = Rear Axle
BB = Bottom bracket
FW = Front Axle
SHK1 = Shock eye 1
SHK2 = Shock eye 2
L1FR = First link fix pivot
SWL1 = Swingarm/Link pivot
L1L2 = Rear bar/Rocker pivot
FRL2 = Second link fix pivot
IC = Instant center
CC = Center of curvature
CG = Center of Gravity
CGAR = Anti-rise Center of Gravity
