Travel;RW_X;RW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SWL1_1X;SWL1_1Y;SWL1_2X;SWL1_2Y;L1L2_1X;L1L2_1Y;L1L2_2X;L1L2_2Y;FRL2_X;FRL2_Y;
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
10;0.0;78.2;65.1;-224.5;-65.1;224.5;49.6;-1.4;-49.6;-76.8;49.6;76.8;-49.6;-76.8;49.6;76.8;15.4;-301.3;
20;0.0;158.4;128.9;-451.4;-128.9;451.4;101.2;-4.9;-101.2;-153.6;101.2;153.6;-101.2;-153.6;101.2;153.6;27.6;-605.0;
30;0.0;240.7;191.9;-680.6;-191.9;680.6;155.0;-10.5;-155.0;-230.2;155.0;230.2;-155.0;-230.2;155.0;230.2;36.9;-910.8;
40;0.0;324.8;254.6;-911.9;-254.6;911.9;210.9;-18.4;-210.9;-306.4;210.9;306.4;-210.9;-306.4;210.9;306.4;43.7;-1218.4;
50;0.0;410.7;317.5;-1145.1;-317.5;1145.1;269.0;-28.8;-269.0;-381.9;269.0;381.9;-269.0;-381.9;269.0;381.9;48.5;-1527.0;
60;0.0;498.2;381.2;-1379.9;-381.2;1379.9;329.3;-41.9;-329.3;-456.3;329.3;456.3;-329.3;-456.3;329.3;456.3;51.9;-1836.2;
70;0.0;587.0;446.4;-1615.9;-446.4;1615.9;391.7;-57.9;-391.7;-529.1;391.7;529.1;-391.7;-529.1;391.7;529.1;54.6;-2145.0;
80;0.0;676.7;513.6;-1852.8;-513.6;1852.8;456.0;-77.0;-456.0;-599.8;456.0;599.8;-456.0;-599.8;456.0;599.8;57.6;-2452.6;
90;0.0;766.9;583.9;-2090.1;-583.9;2090.1;522.0;-99.2;-522.0;-667.7;522.0;667.7;-522.0;-667.7;522.0;667.7;61.9;-2757.7;
100;0.0;856.9;658.0;-2327.1;-658.0;2327.1;589.2;-124.9;-589.2;-732.0;589.2;732.0;-589.2;-732.0;589.2;732.0;68.7;-3059.1;
110;0.0;945.9;736.9;-2563.2;-736.9;2563.2;657.2;-153.9;-657.2;-792.0;657.2;792.0;-657.2;-792.0;657.2;792.0;79.7;-3355.2;
120;0.0;1032.8;821.7;-2797.5;-821.7;2797.5;725.1;-186.4;-725.1;-846.4;725.1;846.4;-725.1;-846.4;725.1;846.4;96.6;-3643.9;
130;0.0;1116.4;913.7;-3028.9;-913.7;3028.9;792.1;-222.3;-792.1;-894.2;792.1;894.2;-792.1;-894.2;792.1;894.2;121.6;-3923.1;
140;0.0;1195.0;1014.1;-3256.1;-1014.1;3256.1;856.8;-261.1;-856.8;-933.9;856.8;933.9;-856.8;-933.9;856.8;933.9;157.3;-4190.0;
150;0.0;1266.6;1124.3;-3477.7;-1124.3;3477.7;917.7;-302.6;-917.7;-964.1;917.7;964.1;-917.7;-964.1;917.7;964.1;206.6;-4441.7;

RW = force at Rear Axle on Frame
SHK1 = force at Shock eye 1 on Frame
SHK2 = force at Shock eye 2 on Frame
L1FR = force at First link fix pivot on Frame
SWL1_1 = force at Swingarm/Link pivot on Frame
SWL1_2 = force at Swingarm/Link pivot on Frame
L1L2_1 = force at Link/Rocker pivot on Frame
L1L2_2 = force at Link/Rocker pivot on Frame
FRL2 = force at Rocker fix pivot on Frame
