Travel;RW_X;RW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SWL1_1X;SWL1_1Y;SWL1_2X;SWL1_2Y;L1L2_1X;L1L2_1Y;L1L2_2X;L1L2_2Y;FRL2_X;FRL2_Y;
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
10;0.0;68.0;167.4;175.2;-167.4;-175.2;255.3;107.5;-255.3;-107.5;255.3;107.5;-87.9;-0.3;87.9;0.3;-255.3;-175.5;
20;0.0;142.1;349.8;346.0;-349.8;-346.0;536.7;198.6;-536.7;-198.6;536.7;198.6;-186.9;5.3;186.9;-5.3;-536.7;-340.7;
30;0.0;222.1;547.0;511.2;-547.0;-511.2;843.7;271.2;-843.7;-271.2;843.7;271.2;-296.7;17.8;296.7;-17.8;-843.7;-493.4;
40;0.0;308.0;758.9;669.7;-758.9;-669.7;1175.5;323.3;-1175.5;-323.3;1175.5;323.3;-416.6;38.4;416.6;-38.4;-1175.5;-631.3;
50;0.0;399.5;985.2;820.5;-985.2;-820.5;1531.0;353.1;-1531.0;-353.1;1531.0;353.1;-545.8;68.0;545.8;-68.0;-1531.0;-752.5;
60;0.0;496.3;1225.6;962.5;-1225.6;-962.5;1909.1;358.7;-1909.1;-358.7;1909.1;358.7;-683.5;107.5;683.5;-107.5;-1909.1;-855.1;
70;0.0;598.4;1479.7;1094.6;-1479.7;-1094.6;2308.3;338.6;-2308.3;-338.6;2308.3;338.6;-828.7;157.6;828.7;-157.6;-2308.3;-937.0;
80;0.0;705.3;1747.0;1215.6;-1747.0;-1215.6;2727.1;291.5;-2727.1;-291.5;2727.1;291.5;-980.0;218.8;980.0;-218.8;-2727.1;-996.8;
90;0.0;816.7;2027.1;1324.6;-2027.1;-1324.6;3163.5;216.2;-3163.5;-216.2;3163.5;216.2;-1136.4;291.7;1136.4;-291.7;-3163.5;-1032.9;
100;0.0;932.4;2319.2;1420.4;-2319.2;-1420.4;3615.6;111.8;-3615.6;-111.8;3615.6;111.8;-1296.4;376.2;1296.4;-376.2;-3615.6;-1044.2;
110;0.0;1051.9;2622.8;1502.1;-2622.8;-1502.1;4081.4;-22.1;-4081.4;22.1;4081.4;-22.1;-1458.6;472.4;1458.6;-472.4;-4081.4;-1029.7;
120;0.0;1174.8;2937.1;1568.6;-2937.1;-1568.6;4558.7;-185.9;-4558.7;185.9;4558.7;-185.9;-1621.6;579.7;1621.6;-579.7;-4558.7;-989.0;
130;0.0;1300.9;3261.3;1619.0;-3261.3;-1619.0;5045.3;-379.3;-5045.3;379.3;5045.3;-379.3;-1784.1;697.4;1784.1;-697.4;-5045.3;-921.6;
140;0.0;1429.7;3594.5;1652.4;-3594.5;-1652.4;5539.1;-601.9;-5539.1;601.9;5539.1;-601.9;-1944.6;824.6;1944.6;-824.6;-5539.1;-827.9;
150;0.0;1561.0;3935.8;1667.9;-3935.8;-1667.9;6037.9;-852.9;-6037.9;852.9;6037.9;-852.9;-2102.1;959.8;2102.1;-959.8;-6037.9;-708.1;
160;0.0;1694.5;4284.3;1664.7;-4284.3;-1664.7;6539.9;-1131.1;-6539.9;1131.1;6539.9;-1131.1;-2255.7;1101.4;2255.7;-1101.4;-6539.9;-563.4;
170;0.0;1830.0;4638.9;1642.0;-4638.9;-1642.0;7043.5;-1435.2;-7043.5;1435.2;7043.5;-1435.2;-2404.6;1247.3;2404.6;-1247.3;-7043.5;-394.7;
180;0.0;1967.3;4998.8;1599.2;-4998.8;-1599.2;7547.3;-1763.6;-7547.3;1763.6;7547.3;-1763.6;-2548.6;1395.4;2548.6;-1395.4;-7547.3;-203.7;
190;0.0;2106.6;5362.7;1535.5;-5362.7;-1535.5;8050.5;-2114.3;-8050.5;2114.3;8050.5;-2114.3;-2687.7;1543.2;2687.7;-1543.2;-8050.5;7.7;
200;0.0;2248.0;5729.8;1450.4;-5729.8;-1450.4;8552.5;-2485.6;-8552.5;2485.6;8552.5;-2485.6;-2822.8;1687.9;2822.8;-1687.9;-8552.5;237.5;
210;0.0;2391.9;6098.9;1343.3;-6098.9;-1343.3;9053.7;-2875.4;-9053.7;2875.4;9053.7;-2875.4;-2954.7;1826.8;2954.7;-1826.8;-9053.7;483.5;
220;0.0;2538.7;6469.2;1213.7;-6469.2;-1213.7;9554.7;-3282.0;-9554.7;3282.0;9554.7;-3282.0;-3085.5;1956.9;3085.5;-1956.9;-9554.7;743.2;

RW = force at Rear Axle on Frame
SHK1 = force at Shock eye 1 on Frame
SHK2 = force at Shock eye 2 on Frame
L1FR = force at First link fix pivot on Frame
SWL1_1 = force at Swingarm/Link pivot on Frame
SWL1_2 = force at Swingarm/Link pivot on Frame
L1L2_1 = force at Rear bar/Rocker pivot on Frame
L1L2_2 = force at Rear bar/Rocker pivot on Frame
FRL2 = force at Second link fix pivot on Frame
