Travel;RW_X;RW_Y;BB_X;BB_Y;FW_X;FW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SWL1_X;SWL1_Y;L1L2_X;L1L2_Y;FRL2_X;FRL2_Y;IC_X;IC_Y;CC_X;CC_Y;CG_X;CG_Y;CGAR_X;CGAR_Y;
0;-454.9;-3.5;0.0;0.0;839.3;23.1;74.0;222.6;-76.6;55.8;24.9;57.5;-48.1;22.8;-63.9;218.2;17.6;180.8;153.4;118.6;-94.6;68.8;1.1;606.5;1.1;606.5;
10;-456.8;6.5;0.0;0.0;839.3;23.1;75.8;220.1;-77.5;59.6;24.9;57.5;-49.5;26.1;-62.2;221.7;17.6;180.8;153.0;111.4;-92.6;69.2;1.1;606.5;1.1;606.5;
20;-458.3;16.5;0.0;0.0;839.3;23.1;77.5;217.4;-78.3;63.4;24.9;57.5;-50.9;29.5;-60.3;225.2;17.6;180.8;151.7;104.4;-90.0;69.6;1.1;606.5;1.1;606.5;
30;-459.6;26.5;0.0;0.0;839.3;23.1;79.0;214.7;-78.9;67.2;24.9;57.5;-52.0;32.8;-58.2;228.7;17.6;180.8;149.5;97.6;-86.8;70.0;1.1;606.5;1.1;606.5;
40;-460.7;36.5;0.0;0.0;839.3;23.1;80.5;211.9;-79.3;70.9;24.9;57.5;-53.0;36.1;-56.0;232.0;17.6;180.8;146.7;91.0;-82.9;70.4;1.1;606.5;1.1;606.5;
50;-461.4;46.5;0.0;0.0;839.3;23.1;81.9;209.0;-79.6;74.6;24.9;57.5;-53.8;39.4;-53.6;235.3;17.6;180.8;143.1;84.8;-78.4;70.7;1.1;606.5;1.1;606.5;
60;-461.9;56.5;0.0;0.0;839.3;23.1;83.1;206.1;-79.6;78.3;24.9;57.5;-54.5;42.6;-51.0;238.5;17.6;180.8;138.8;78.9;-73.4;71.0;1.1;606.5;1.1;606.5;
70;-462.2;66.5;0.0;0.0;839.3;23.1;84.2;203.0;-79.6;81.9;24.9;57.5;-55.0;45.8;-48.2;241.7;17.6;180.8;133.8;73.5;-67.7;71.1;1.1;606.5;1.1;606.5;
80;-462.2;76.5;0.0;0.0;839.3;23.1;85.1;199.9;-79.4;85.4;24.9;57.5;-55.4;48.9;-45.3;244.7;17.6;180.8;128.4;68.6;-61.6;71.1;1.1;606.5;1.1;606.5;
90;-461.9;86.5;0.0;0.0;839.3;23.1;86.0;196.7;-79.0;88.9;24.9;57.5;-55.7;52.0;-42.3;247.5;17.6;180.8;122.4;64.2;-54.9;70.9;1.1;606.5;1.1;606.5;
100;-461.4;96.5;0.0;0.0;839.3;23.1;86.6;193.5;-78.5;92.3;24.9;57.5;-55.8;55.0;-39.1;250.3;17.6;180.8;116.0;60.3;-47.8;70.6;1.1;606.5;1.1;606.5;
110;-460.7;106.5;0.0;0.0;839.3;23.1;87.2;190.2;-77.9;95.6;24.9;57.5;-55.9;58.0;-35.7;252.9;17.6;180.8;109.2;57.1;-40.3;70.0;1.1;606.5;1.1;606.5;
120;-459.7;116.5;0.0;0.0;839.3;23.1;87.5;186.8;-77.2;98.9;24.9;57.5;-55.8;60.8;-32.2;255.4;17.6;180.8;102.1;54.4;-32.6;69.3;1.1;606.5;1.1;606.5;
130;-458.5;126.5;0.0;0.0;839.3;23.1;87.7;183.5;-76.3;102.0;24.9;57.5;-55.6;63.6;-28.5;257.7;17.6;180.8;94.9;52.3;-24.7;68.3;1.1;606.5;1.1;606.5;
140;-457.0;136.5;0.0;0.0;839.3;23.1;87.8;180.1;-75.4;105.1;24.9;57.5;-55.4;66.2;-24.8;259.8;17.6;180.8;87.4;50.7;-16.9;67.2;1.1;606.5;1.1;606.5;
150;-455.3;146.5;0.0;0.0;839.3;23.1;87.7;176.6;-74.3;108.0;24.9;57.5;-55.1;68.8;-20.9;261.8;17.6;180.8;79.9;49.7;-9.3;65.9;1.1;606.5;1.1;606.5;
160;-453.4;156.5;0.0;0.0;839.3;23.1;87.4;173.2;-73.2;110.8;24.9;57.5;-54.7;71.3;-16.9;263.6;17.6;180.8;72.4;49.3;-2.0;64.5;1.1;606.5;1.1;606.5;
170;-451.2;166.5;0.0;0.0;839.3;23.1;86.9;169.8;-72.0;113.5;24.9;57.5;-54.2;73.7;-12.7;265.2;17.6;180.8;64.9;49.4;4.8;63.0;1.1;606.5;1.1;606.5;
180;-448.8;176.5;0.0;0.0;839.3;23.1;86.3;166.3;-70.7;116.1;24.9;57.5;-53.8;75.9;-8.5;266.6;17.6;180.8;57.5;49.9;10.8;61.6;1.1;606.5;1.1;606.5;
190;-446.2;186.5;0.0;0.0;839.3;23.1;85.5;162.9;-69.4;118.6;24.9;57.5;-53.2;78.0;-4.2;267.8;17.6;180.8;50.2;50.9;16.0;60.2;1.1;606.5;1.1;606.5;
200;-443.4;196.5;0.0;0.0;839.3;23.1;84.5;159.5;-68.0;120.9;24.9;57.5;-52.7;80.1;0.2;268.8;17.6;180.8;43.0;52.3;20.1;59.1;1.1;606.5;1.1;606.5;
210;-440.3;206.5;0.0;0.0;839.3;23.1;83.3;156.2;-66.6;123.2;24.9;57.5;-52.1;82.0;4.7;269.6;17.6;180.8;36.1;54.0;23.0;58.2;1.1;606.5;1.1;606.5;
220;-437.0;216.5;0.0;0.0;839.3;23.1;82.0;152.8;-65.1;125.2;24.9;57.5;-51.5;83.8;9.3;270.1;17.6;180.8;29.3;56.0;?;?;1.1;606.5;1.1;606.5;

RW = Rear Axle
BB = Bottom bracket
FW = Front Axle
SHK1 = Shock eye 1
SHK2 = Shock eye 2
L1FR = First link fix pivot
SWL1 = Swingarm/Link pivot
L1L2 = Rear bar/Rocker pivot
FRL2 = Second link fix pivot
IC = Instant center
CC = Center of curvature
CG = Center of Gravity
CGAR = Anti-rise Center of Gravity
