Travel;RW_X;RW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;
0;0.0;0.1;0.2;0.0;-0.2;0.0;0.2;-0.1;
10;0.0;21.7;54.1;4.6;-54.1;-4.6;54.1;-17.1;
20;0.0;37.3;93.3;7.5;-93.3;-7.5;93.3;-29.8;
30;0.0;49.8;124.6;9.6;-124.6;-9.6;124.6;-40.2;
40;0.0;60.6;151.6;11.2;-151.6;-11.2;151.6;-49.4;
50;0.0;70.5;176.3;12.6;-176.3;-12.6;176.3;-57.9;
60;0.0;80.0;199.8;13.8;-199.8;-13.8;199.8;-66.2;
70;0.0;89.4;223.2;14.9;-223.2;-14.9;223.2;-74.5;
80;0.0;99.1;247.2;16.1;-247.2;-16.1;247.2;-83.0;
90;0.0;109.3;272.3;17.3;-272.3;-17.3;272.3;-92.0;
100;0.0;120.3;299.4;18.8;-299.4;-18.8;299.4;-101.5;
110;0.0;132.3;329.0;20.5;-329.0;-20.5;329.0;-111.9;
120;0.0;145.8;362.1;22.5;-362.1;-22.5;362.1;-123.3;
130;0.0;161.2;399.8;25.1;-399.8;-25.1;399.8;-136.1;
140;0.0;179.0;443.5;28.3;-443.5;-28.3;443.5;-150.7;
150;0.0;200.1;495.2;32.4;-495.2;-32.4;495.2;-167.7;
158;0.0;220.1;544.1;36.6;-544.1;-36.6;544.1;-183.5;

RW = force at Rear Axle on Frame
SHK1 = force at Shock eye 1 on Frame
SHK2 = force at Shock eye 2 on Frame
L1FR = force at First link fix pivot on Frame
