Travel;RW_X;RW_Y;BB_X;BB_Y;FW_X;FW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;CG_X;CG_Y;CGAR_X;CGAR_Y;
0;-435.1;6.0;0.0;0.0;795.8;6.0;194.2;296.2;-21.0;277.3;36.4;93.7;-6.4;600.6;-6.4;600.6;
10;-436.9;16.0;0.0;0.0;795.8;6.0;194.2;296.2;-17.1;278.4;36.4;93.7;-6.4;600.6;-6.4;600.6;
20;-438.4;26.0;0.0;0.0;795.8;6.0;194.2;296.2;-13.2;279.5;36.4;93.7;-6.4;600.6;-6.4;600.6;
30;-439.7;36.0;0.0;0.0;795.8;6.0;194.2;296.2;-9.3;280.5;36.4;93.7;-6.4;600.6;-6.4;600.6;
40;-440.8;46.0;0.0;0.0;795.8;6.0;194.2;296.2;-5.4;281.5;36.4;93.7;-6.4;600.6;-6.4;600.6;
50;-441.7;56.0;0.0;0.0;795.8;6.0;194.2;296.2;-1.4;282.3;36.4;93.7;-6.4;600.6;-6.4;600.6;
60;-442.4;66.0;0.0;0.0;795.8;6.0;194.2;296.2;2.5;283.0;36.4;93.7;-6.4;600.6;-6.4;600.6;
70;-442.9;76.0;0.0;0.0;795.8;6.0;194.2;296.2;6.5;283.7;36.4;93.7;-6.4;600.6;-6.4;600.6;
80;-443.1;86.0;0.0;0.0;795.8;6.0;194.2;296.2;10.5;284.3;36.4;93.7;-6.4;600.6;-6.4;600.6;
90;-443.2;96.0;0.0;0.0;795.8;6.0;194.2;296.2;14.4;284.8;36.4;93.7;-6.4;600.6;-6.4;600.6;
100;-443.0;106.0;0.0;0.0;795.8;6.0;194.2;296.2;18.4;285.2;36.4;93.7;-6.4;600.6;-6.4;600.6;
110;-442.7;116.0;0.0;0.0;795.8;6.0;194.2;296.2;22.4;285.5;36.4;93.7;-6.4;600.6;-6.4;600.6;
120;-442.1;126.0;0.0;0.0;795.8;6.0;194.2;296.2;26.4;285.8;36.4;93.7;-6.4;600.6;-6.4;600.6;
130;-441.3;136.0;0.0;0.0;795.8;6.0;194.2;296.2;30.5;286.0;36.4;93.7;-6.4;600.6;-6.4;600.6;
140;-440.3;146.0;0.0;0.0;795.8;6.0;194.2;296.2;34.5;286.0;36.4;93.7;-6.4;600.6;-6.4;600.6;
150;-439.1;156.0;0.0;0.0;795.8;6.0;194.2;296.2;38.5;286.0;36.4;93.7;-6.4;600.6;-6.4;600.6;
158;-438.0;164.0;0.0;0.0;795.8;6.0;194.2;296.2;41.8;286.0;36.4;93.7;-6.4;600.6;-6.4;600.6;

RW = Rear Axle
BB = Bottom bracket
FW = Front Axle
SHK1 = Shock eye 1
SHK2 = Shock eye 2
L1FR = First link fix pivot
CG = Center of Gravity
CGAR = Anti-rise Center of Gravity
