Travel;Shock_curve;Gradient;
0;0.206;16.353;
1;15.840;14.848;
2;29.935;13.428;
3;42.756;12.266;
4;54.514;11.291;
5;65.376;10.467;
6;75.479;9.767;
7;84.934;9.168;
8;93.836;8.654;
9;102.261;8.212;
10;110.275;7.830;
11;117.934;7.500;
12;125.286;7.215;
13;132.373;6.968;
14;139.231;6.755;
15;145.891;6.572;
16;152.382;6.416;
17;158.729;6.283;
18;164.954;6.172;
19;171.077;6.079;
20;177.117;6.004;
21;183.090;5.946;
22;189.012;5.902;
23;194.898;5.872;
24;200.760;5.855;
25;206.611;5.850;
26;212.463;5.857;
27;218.328;5.875;
28;224.217;5.904;
29;230.140;5.944;
30;236.107;5.994;
31;242.129;6.053;
32;248.216;6.123;
33;254.378;6.203;
34;260.625;6.293;
35;266.967;6.393;
36;273.414;6.504;
37;279.977;6.625;
38;286.666;6.757;
39;293.493;6.900;
40;300.469;7.055;
41;307.605;7.222;
42;314.915;7.401;
43;322.411;7.594;
44;330.106;7.801;
45;338.015;8.022;
46;346.154;8.259;
47;354.538;8.513;
48;363.185;8.785;
49;372.112;9.075;
50;381.340;9.386;
51;390.890;9.718;
52;400.783;10.074;
53;411.045;10.456;
54;421.701;10.865;
55;432.781;11.303;
56;444.315;11.774;
57;456.338;12.280;
58;468.886;12.825;
59;481.999;13.412;
60;495.722;14.046;
61;510.103;14.731;
62;525.197;15.476;
63;541.063;16.241;
