Travel;RW_X;RW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SWL1_1X;SWL1_1Y;SWL1_2X;SWL1_2Y;L1L2_1X;L1L2_1Y;L1L2_2X;L1L2_2Y;FRL2_X;FRL2_Y;
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
10;0.0;55.5;5.8;-219.0;-5.8;219.0;138.8;20.6;-138.8;-20.6;138.8;20.6;-138.8;-76.1;138.8;76.1;-133.1;-295.0;
20;0.0;115.7;6.2;-444.3;-6.2;444.3;286.3;36.1;-286.3;-36.1;286.3;36.1;-286.3;-151.8;286.3;151.8;-280.0;-596.1;
30;0.0;180.8;1.5;-675.8;-1.5;675.8;442.5;46.1;-442.5;-46.1;442.5;46.1;-442.5;-226.8;442.5;226.8;-441.0;-902.6;
40;0.0;250.7;-8.3;-913.3;8.3;913.3;607.6;50.0;-607.6;-50.0;607.6;50.0;-607.6;-300.7;607.6;300.7;-615.9;-1214.0;
50;0.0;325.5;-23.1;-1156.8;23.1;1156.8;781.7;47.4;-781.7;-47.4;781.7;47.4;-781.7;-372.9;781.7;372.9;-804.8;-1529.7;
60;0.0;405.4;-42.9;-1406.1;42.9;1406.1;964.7;37.6;-964.7;-37.6;964.7;37.6;-964.7;-443.0;964.7;443.0;-1007.6;-1849.1;
70;0.0;490.4;-67.4;-1661.0;67.4;1661.0;1156.7;20.2;-1156.7;-20.2;1156.7;20.2;-1156.7;-510.5;1156.7;510.5;-1224.1;-2171.5;
80;0.0;580.5;-96.4;-1921.5;96.4;1921.5;1357.7;-5.6;-1357.7;5.6;1357.7;-5.6;-1357.7;-575.0;1357.7;575.0;-1454.1;-2496.5;
90;0.0;675.9;-129.8;-2187.6;129.8;2187.6;1567.6;-40.2;-1567.6;40.2;1567.6;-40.2;-1567.6;-635.7;1567.6;635.7;-1697.5;-2823.3;
100;0.0;776.6;-167.4;-2459.1;167.4;2459.1;1786.3;-84.3;-1786.3;84.3;1786.3;-84.3;-1786.3;-692.2;1786.3;692.2;-1953.7;-3151.3;
110;0.0;882.5;-208.7;-2735.9;208.7;2735.9;2013.6;-138.6;-2013.6;138.6;2013.6;-138.6;-2013.6;-743.9;2013.6;743.9;-2222.2;-3479.8;
120;0.0;993.8;-253.4;-3018.1;253.4;3018.1;2249.1;-203.7;-2249.1;203.7;2249.1;-203.7;-2249.1;-790.1;2249.1;790.1;-2502.5;-3808.2;
130;0.0;1110.4;-301.1;-3305.5;301.1;3305.5;2492.6;-280.2;-2492.6;280.2;2492.6;-280.2;-2492.6;-830.2;2492.6;830.2;-2793.7;-4135.7;
140;0.0;1232.3;-351.3;-3598.2;351.3;3598.2;2743.4;-368.8;-2743.4;368.8;2743.4;-368.8;-2743.4;-863.5;2743.4;863.5;-3094.8;-4461.6;
150;0.0;1359.3;-403.4;-3896.0;403.4;3896.0;3001.1;-470.1;-3001.1;470.1;3001.1;-470.1;-3001.1;-889.1;3001.1;889.1;-3404.5;-4785.1;
160;0.0;1491.2;-456.6;-4199.0;456.6;4199.0;3264.7;-584.7;-3264.7;584.7;3264.7;-584.7;-3264.7;-906.5;3264.7;906.5;-3721.3;-5105.5;
170;0.0;1627.7;-510.1;-4507.0;510.1;4507.0;3533.2;-713.0;-3533.2;713.0;3533.2;-713.0;-3533.2;-914.7;3533.2;914.7;-4043.3;-5421.8;
180;0.0;1768.5;-562.9;-4820.1;562.9;4820.1;3805.4;-855.5;-3805.4;855.5;3805.4;-855.5;-3805.4;-913.1;3805.4;913.1;-4368.3;-5733.2;
190;0.0;1913.1;-613.8;-5138.2;613.8;5138.2;4079.6;-1012.4;-4079.6;1012.4;4079.6;-1012.4;-4079.6;-900.7;4079.6;900.7;-4693.4;-6038.9;
200;0.0;2060.7;-661.5;-5461.1;661.5;5461.1;4353.9;-1183.8;-4353.9;1183.8;4353.9;-1183.8;-4353.9;-876.8;4353.9;876.8;-5015.4;-6338.0;
210;0.0;2210.4;-704.3;-5788.8;704.3;5788.8;4625.9;-1369.6;-4625.9;1369.6;4625.9;-1369.6;-4625.9;-840.7;4625.9;840.7;-5330.2;-6629.5;
220;0.0;2361.0;-740.3;-6120.9;740.3;6120.9;4892.6;-1569.3;-4892.6;1569.3;4892.6;-1569.3;-4892.6;-791.7;4892.6;791.7;-5632.9;-6912.6;

RW = force at Rear Axle on Frame
SHK1 = force at Shock eye 1 on Frame
SHK2 = force at Shock eye 2 on Frame
L1FR = force at First link fix pivot on Frame
SWL1_1 = force at Swingarm/Link pivot on Frame
SWL1_2 = force at Swingarm/Link pivot on Frame
L1L2_1 = force at Rear bar/Rocker pivot on Frame
L1L2_2 = force at Rear bar/Rocker pivot on Frame
FRL2 = force at Rocker fix pivot on Frame
