Travel;RW_X;RW_Y;BB_X;BB_Y;FW_X;FW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SWL1_X;SWL1_Y;L1L2_X;L1L2_Y;FRL2_X;FRL2_Y;IC_X;IC_Y;CC_X;CC_Y;CG_X;CG_Y;CGAR_X;CGAR_Y;
0;-450.0;5.2;0.0;0.0;797.0;31.8;102.1;43.9;93.4;268.7;7.9;83.6;-450.1;5.5;-40.2;237.3;47.8;210.3;299.3;133.3;8.1;83.5;-20.1;600.0;-20.1;600.0;
10;-451.6;15.2;0.0;0.0;797.0;31.8;102.1;43.9;96.3;266.3;7.9;83.6;-451.7;15.5;-38.7;241.8;47.8;210.3;284.1;124.5;8.1;83.5;-20.1;600.0;-20.1;600.0;
20;-453.0;25.2;0.0;0.0;797.0;31.8;102.1;43.9;99.0;263.8;7.9;83.6;-453.0;25.5;-37.0;246.1;47.8;210.3;270.1;116.6;8.1;83.5;-20.1;600.0;-20.1;600.0;
30;-454.2;35.2;0.0;0.0;797.0;31.8;102.1;43.9;101.6;261.2;7.9;83.6;-454.2;35.5;-35.1;250.3;47.8;210.3;257.2;109.5;8.1;83.5;-20.1;600.0;-20.1;600.0;
40;-455.1;45.2;0.0;0.0;797.0;31.8;102.1;43.9;104.1;258.5;7.9;83.6;-455.1;45.5;-33.1;254.3;47.8;210.3;245.0;103.1;8.1;83.5;-20.1;600.0;-20.1;600.0;
50;-455.8;55.2;0.0;0.0;797.0;31.8;102.1;43.9;106.4;255.7;7.9;83.6;-455.8;55.5;-30.8;258.2;47.8;210.3;233.5;97.2;8.1;83.5;-20.1;600.0;-20.1;600.0;
60;-456.3;65.2;0.0;0.0;797.0;31.8;102.1;43.9;108.5;252.7;7.9;83.6;-456.3;65.5;-28.4;262.0;47.8;210.3;222.5;91.9;8.1;83.5;-20.1;600.0;-20.1;600.0;
70;-456.6;75.2;0.0;0.0;797.0;31.8;102.1;43.9;110.5;249.8;7.9;83.6;-456.6;75.5;-25.8;265.6;47.8;210.3;211.9;87.1;8.1;83.5;-20.1;600.0;-20.1;600.0;
80;-456.7;85.2;0.0;0.0;797.0;31.8;102.1;43.9;112.3;246.7;7.9;83.6;-456.7;85.5;-23.1;269.1;47.8;210.3;201.6;82.8;8.1;83.5;-20.1;600.0;-20.1;600.0;
90;-456.5;95.2;0.0;0.0;797.0;31.8;102.1;43.9;114.0;243.5;7.9;83.6;-456.5;95.5;-20.2;272.4;47.8;210.3;191.7;78.9;8.1;83.5;-20.1;600.0;-20.1;600.0;
100;-456.2;105.2;0.0;0.0;797.0;31.8;102.1;43.9;115.5;240.3;7.9;83.6;-456.2;105.5;-17.1;275.6;47.8;210.3;181.9;75.4;8.1;83.5;-20.1;600.0;-20.1;600.0;
110;-455.6;115.2;0.0;0.0;797.0;31.8;102.1;43.9;116.9;237.0;7.9;83.6;-455.6;115.5;-13.9;278.7;47.8;210.3;172.4;72.3;8.1;83.5;-20.1;600.0;-20.1;600.0;
