Travel;RW_X;RW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SWL1_1X;SWL1_1Y;SWL1_2X;SWL1_2Y;L1L2_1X;L1L2_1Y;L1L2_2X;L1L2_2Y;FRL2_X;FRL2_Y;
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
10;0.0;82.0;-9.8;266.4;9.8;-266.4;181.0;11.0;-181.0;-92.9;181.0;92.9;-181.0;-92.9;181.0;92.9;-171.2;-359.4;
20;0.0;169.4;-11.8;539.0;11.8;-539.0;368.5;14.3;-368.5;-183.7;368.5;183.7;-368.5;-183.7;368.5;183.7;-356.7;-722.6;
30;0.0;262.5;-6.2;817.5;6.2;-817.5;563.1;9.6;-563.1;-272.1;563.1;272.1;-563.1;-272.1;563.1;272.1;-556.9;-1089.6;
40;0.0;361.6;6.7;1102.0;-6.7;-1102.0;765.6;-3.5;-765.6;-358.0;765.6;358.0;-765.6;-358.0;765.6;358.0;-772.3;-1460.1;
50;0.0;466.8;26.4;1392.6;-26.4;-1392.6;976.5;-25.7;-976.5;-441.1;976.5;441.1;-976.5;-441.1;976.5;441.1;-1002.9;-1833.7;
60;0.0;578.5;52.7;1689.0;-52.7;-1689.0;1196.1;-57.5;-1196.1;-521.0;1196.1;521.0;-1196.1;-521.0;1196.1;521.0;-1248.8;-2209.9;
70;0.0;696.7;85.2;1991.3;-85.2;-1991.3;1424.6;-99.6;-1424.6;-597.1;1424.6;597.1;-1424.6;-597.1;1424.6;597.1;-1509.8;-2588.4;
80;0.0;821.7;123.5;2299.4;-123.5;-2299.4;1662.2;-152.7;-1662.2;-669.0;1662.2;669.0;-1662.2;-669.0;1662.2;669.0;-1785.7;-2968.4;
90;0.0;953.4;167.1;2613.4;-167.1;-2613.4;1908.9;-217.5;-1908.9;-736.0;1908.9;736.0;-1908.9;-736.0;1908.9;736.0;-2076.0;-3349.4;
100;0.0;1092.1;215.3;2933.2;-215.3;-2933.2;2164.7;-294.8;-2164.7;-797.4;2164.7;797.4;-2164.7;-797.4;2164.7;797.4;-2380.0;-3730.6;
110;0.0;1237.8;267.6;3258.9;-267.6;-3258.9;2429.2;-385.3;-2429.2;-852.5;2429.2;852.5;-2429.2;-852.5;2429.2;852.5;-2696.8;-4111.4;
120;0.0;1390.3;323.0;3590.4;-323.0;-3590.4;2701.9;-489.8;-2701.9;-900.5;2701.9;900.5;-2701.9;-900.5;2701.9;900.5;-3025.0;-4490.8;
130;0.0;1549.5;380.6;3927.7;-380.6;-3927.7;2982.4;-609.0;-2982.4;-940.5;2982.4;940.5;-2982.4;-940.5;2982.4;940.5;-3363.0;-4868.1;
140;0.0;1715.2;439.1;4270.8;-439.1;-4270.8;3269.5;-743.7;-3269.5;-971.4;3269.5;971.4;-3269.5;-971.4;3269.5;971.4;-3708.6;-5242.3;
150;0.0;1886.8;497.1;4619.8;-497.1;-4619.8;3562.1;-894.4;-3562.1;-992.4;3562.1;992.4;-3562.1;-992.4;3562.1;992.4;-4059.2;-5612.2;
160;0.0;2063.7;552.9;4974.6;-552.9;-4974.6;3858.4;-1061.4;-3858.4;-1002.3;3858.4;1002.3;-3858.4;-1002.3;3858.4;1002.3;-4411.3;-5976.9;
170;0.0;2244.9;604.3;5335.2;-604.3;-5335.2;4156.0;-1245.0;-4156.0;-999.9;4156.0;999.9;-4156.0;-999.9;4156.0;999.9;-4760.3;-6335.1;
179;0.0;2410.5;644.9;5664.5;-644.9;-5664.5;4422.6;-1424.1;-4422.6;-986.4;4422.6;986.4;-4422.6;-986.4;4422.6;986.4;-5067.5;-6650.9;

RW = force at Rear Axle on Frame
SHK1 = force at Shock eye 1 on Frame
SHK2 = force at Shock eye 2 on Frame
L1FR = force at First link fix pivot on Frame
SWL1_1 = force at Swingarm/Link pivot on Frame
SWL1_2 = force at Swingarm/Link pivot on Frame
L1L2_1 = force at Link/Rocker pivot on Frame
L1L2_2 = force at Link/Rocker pivot on Frame
FRL2 = force at Rocker fix pivot on Frame
