Travel;RW_X;RW_Y;BB_X;BB_Y;FW_X;FW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SWL1_X;SWL1_Y;L1L2_X;L1L2_Y;FRL2_X;FRL2_Y;CG_X;CG_Y;CGAR_X;CGAR_Y;
0;0.0;0.0;442.0;-11.0;1260.0;0.0;547.2;248.5;558.0;43.9;458.8;38.0;0.0;0.1;412.0;217.6;500.8;191.5;437.8;589.0;437.8;589.0;
10;-0.7;10.0;442.0;-11.0;1260.0;0.0;550.6;245.6;558.0;43.9;458.8;38.0;-0.7;10.1;413.7;222.9;500.8;191.5;437.8;589.0;437.8;589.0;
20;-1.2;20.0;442.0;-11.0;1260.0;0.0;553.7;242.5;558.0;43.9;458.8;38.0;-1.2;20.1;415.7;227.9;500.8;191.5;437.8;589.0;437.8;589.0;
30;-1.5;30.0;442.0;-11.0;1260.0;0.0;556.5;239.4;558.0;43.9;458.8;38.0;-1.5;30.1;417.9;232.8;500.8;191.5;437.8;589.0;437.8;589.0;
40;-1.6;40.0;442.0;-11.0;1260.0;0.0;559.2;236.2;558.0;43.9;458.8;38.0;-1.6;40.1;420.4;237.4;500.8;191.5;437.8;589.0;437.8;589.0;
50;-1.4;50.0;442.0;-11.0;1260.0;0.0;561.6;232.8;558.0;43.9;458.8;38.0;-1.4;50.1;423.1;241.9;500.8;191.5;437.8;589.0;437.8;589.0;
60;-1.0;60.0;442.0;-11.0;1260.0;0.0;563.8;229.4;558.0;43.9;458.8;38.0;-1.0;60.1;426.1;246.1;500.8;191.5;437.8;589.0;437.8;589.0;
70;-0.5;70.0;442.0;-11.0;1260.0;0.0;565.8;225.8;558.0;43.9;458.8;38.0;-0.4;70.1;429.2;250.2;500.8;191.5;437.8;589.0;437.8;589.0;
80;0.4;80.0;442.0;-11.0;1260.0;0.0;567.6;222.2;558.0;43.9;458.8;38.0;0.4;80.1;432.5;254.0;500.8;191.5;437.8;589.0;437.8;589.0;
90;1.4;90.0;442.0;-11.0;1260.0;0.0;569.2;218.5;558.0;43.9;458.8;38.0;1.4;90.1;436.1;257.7;500.8;191.5;437.8;589.0;437.8;589.0;
100;2.6;100.0;442.0;-11.0;1260.0;0.0;570.6;214.7;558.0;43.9;458.8;38.0;2.6;100.1;439.8;261.1;500.8;191.5;437.8;589.0;437.8;589.0;
110;4.1;110.0;442.0;-11.0;1260.0;0.0;571.7;210.9;558.0;43.9;458.8;38.0;4.1;110.1;443.7;264.3;500.8;191.5;437.8;589.0;437.8;589.0;
120;5.8;120.0;442.0;-11.0;1260.0;0.0;572.7;207.0;558.0;43.9;458.8;38.0;5.8;120.1;447.8;267.4;500.8;191.5;437.8;589.0;437.8;589.0;
130;7.7;130.0;442.0;-11.0;1260.0;0.0;573.4;203.0;558.0;43.9;458.8;38.0;7.7;130.1;452.0;270.2;500.8;191.5;437.8;589.0;437.8;589.0;
140;9.9;140.0;442.0;-11.0;1260.0;0.0;574.0;199.0;558.0;43.9;458.8;38.0;9.9;140.1;456.5;272.8;500.8;191.5;437.8;589.0;437.8;589.0;
150;12.3;150.0;442.0;-11.0;1260.0;0.0;574.3;194.9;558.0;43.9;458.8;38.0;12.3;150.1;461.1;275.1;500.8;191.5;437.8;589.0;437.8;589.0;
160;14.9;160.0;442.0;-11.0;1260.0;0.0;574.3;190.7;558.0;43.9;458.8;38.0;14.9;160.1;465.8;277.2;500.8;191.5;437.8;589.0;437.8;589.0;
170;17.8;170.0;442.0;-11.0;1260.0;0.0;574.2;186.6;558.0;43.9;458.8;38.0;17.8;170.1;470.7;279.1;500.8;191.5;437.8;589.0;437.8;589.0;
179;20.6;179.0;442.0;-11.0;1260.0;0.0;573.8;182.8;558.0;43.9;458.8;38.0;20.6;179.1;475.3;280.5;500.8;191.5;437.8;589.0;437.8;589.0;

RW = Rear Axle
BB = Bottom bracket
FW = Front Axle
SHK1 = Shock eye 1
SHK2 = Shock eye 2
L1FR = First link fix pivot
SWL1 = Swingarm/Link pivot
L1L2 = Link/Rocker pivot
FRL2 = Rocker fix pivot
CG = Center of Gravity
CGAR = Anti-rise Center of Gravity
