Travel;RW_X;RW_Y;BB_X;BB_Y;FW_X;FW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SWL1_X;SWL1_Y;MPFR_X;MPFR_Y;MPS2_X;MPS2_Y;IC_X;IC_Y;CC_X;CC_Y;CG_X;CG_Y;CGAR_X;CGAR_Y;
0;0.0;0.0;425.0;-3.0;1179.4;0.0;368.4;145.2;666.4;389.0;560.7;80.1;521.2;67.7;536.5;2.7;368.4;145.2;617.2;97.9;503.2;79.8;400.0;700.0;400.0;700.0;
10;-1.5;10.0;425.0;-3.0;1179.4;0.0;369.2;149.2;666.4;389.0;560.7;80.1;520.7;69.2;536.5;2.7;369.2;149.2;618.0;95.7;503.0;79.8;400.0;700.0;400.0;700.0;
20;-2.8;20.0;425.0;-3.0;1179.4;0.0;370.1;153.2;666.4;389.0;560.7;80.1;520.3;70.8;536.5;2.7;370.1;153.2;618.6;93.4;502.9;79.7;400.0;700.0;400.0;700.0;
30;-3.8;30.0;425.0;-3.0;1179.4;0.0;371.2;157.2;666.4;389.0;560.7;80.1;520.0;72.4;536.5;2.7;371.2;157.2;619.2;91.2;502.7;79.7;400.0;700.0;400.0;700.0;
40;-4.7;40.0;425.0;-3.0;1179.4;0.0;372.3;161.2;666.4;389.0;560.7;80.1;519.7;74.0;536.5;2.7;372.3;161.2;619.7;88.9;502.5;79.7;400.0;700.0;400.0;700.0;
50;-5.4;50.0;425.0;-3.0;1179.4;0.0;373.5;165.1;666.4;389.0;560.7;80.1;519.5;75.6;536.5;2.7;373.5;165.1;620.1;86.6;502.2;79.7;400.0;700.0;400.0;700.0;
60;-5.9;60.0;425.0;-3.0;1179.4;0.0;374.8;169.0;666.4;389.0;560.7;80.1;519.4;77.2;536.5;2.7;374.8;169.0;620.5;84.3;502.0;79.7;400.0;700.0;400.0;700.0;
70;-6.2;70.0;425.0;-3.0;1179.4;0.0;376.2;172.9;666.4;389.0;560.7;80.1;519.3;78.8;536.5;2.7;376.2;172.9;620.7;81.9;501.7;79.7;400.0;700.0;400.0;700.0;
80;-6.3;80.0;425.0;-3.0;1179.4;0.0;377.7;176.8;666.4;389.0;560.7;80.1;519.3;80.4;536.5;2.7;377.7;176.8;620.9;79.6;501.3;79.7;400.0;700.0;400.0;700.0;
90;-6.2;90.0;425.0;-3.0;1179.4;0.0;379.3;180.7;666.4;389.0;560.7;80.1;519.3;82.1;536.5;2.7;379.3;180.7;620.9;77.2;501.0;79.7;400.0;700.0;400.0;700.0;
100;-5.9;100.0;425.0;-3.0;1179.4;0.0;381.0;184.5;666.4;389.0;560.7;80.1;519.4;83.7;536.5;2.7;381.0;184.5;620.9;74.9;500.5;79.7;400.0;700.0;400.0;700.0;
110;-5.4;110.0;425.0;-3.0;1179.4;0.0;382.8;188.4;666.4;389.0;560.7;80.1;519.6;85.3;536.5;2.7;382.8;188.4;620.8;72.5;500.0;79.7;400.0;700.0;400.0;700.0;
120;-4.7;120.0;425.0;-3.0;1179.4;0.0;384.7;192.1;666.4;389.0;560.7;80.1;519.8;86.9;536.5;2.7;384.7;192.1;620.6;70.1;499.8;79.7;400.0;700.0;400.0;700.0;
130;-3.8;130.0;425.0;-3.0;1179.4;0.0;386.7;195.9;666.4;389.0;560.7;80.1;520.1;88.5;536.5;2.7;386.7;195.9;620.4;67.7;499.3;79.8;400.0;700.0;400.0;700.0;
140;-2.7;140.0;425.0;-3.0;1179.4;0.0;388.8;199.6;666.4;389.0;560.7;80.1;520.5;90.1;536.5;2.7;388.8;199.6;620.0;65.3;499.0;79.8;400.0;700.0;400.0;700.0;
150;-1.4;150.0;425.0;-3.0;1179.4;0.0;391.0;203.3;666.4;389.0;560.7;80.1;520.9;91.7;536.5;2.7;391.0;203.3;619.5;62.9;498.2;79.9;400.0;700.0;400.0;700.0;
160;0.1;160.0;425.0;-3.0;1179.4;0.0;393.3;207.0;666.4;389.0;560.7;80.1;521.4;93.3;536.5;2.7;393.3;207.0;619.0;60.5;497.7;80.0;400.0;700.0;400.0;700.0;
170;1.8;170.0;425.0;-3.0;1179.4;0.0;395.7;210.6;666.4;389.0;560.7;80.1;522.0;94.9;536.5;2.7;395.7;210.6;618.4;58.1;496.5;80.2;400.0;700.0;400.0;700.0;
180;3.8;180.0;425.0;-3.0;1179.4;0.0;398.3;214.2;666.4;389.0;560.7;80.1;522.6;96.4;536.5;2.7;398.3;214.2;617.6;55.7;?;?;400.0;700.0;400.0;700.0;

RW = Rear Axle
BB = Bottom bracket
FW = Front Axle
SHK1 = Shock eye 1
SHK2 = Shock eye 2
L1FR = Link fix pivot
SWL1 = Strut/Link pivot
MPFR = Strut/Frame pivot
MPS2 = Strut slider axle point
IC = Instant center
CC = Center of curvature
CG = Center of Gravity
CGAR = Anti-rise Center of Gravity
