Travel;Shock_curve;Gradient;
0;0.000;180.739;
1;172.942;164.534;
2;329.374;149.100;
3;471.738;136.229;
4;602.354;125.463;
5;723.084;116.371;
6;835.440;108.646;
7;940.661;102.050;
8;1039.776;96.393;
9;1133.646;91.528;
10;1223.001;87.334;
11;1308.459;83.715;
12;1390.554;80.590;
13;1469.748;77.897;
14;1546.442;75.580;
15;1620.990;73.595;
16;1693.705;71.905;
17;1764.866;70.478;
18;1834.722;69.290;
19;1903.499;68.316;
20;1971.403;67.540;
21;2038.623;66.944;
22;2105.333;66.516;
23;2171.694;66.245;
24;2237.859;66.121;
25;2303.971;66.136;
26;2370.165;66.285;
27;2436.573;66.562;
28;2503.320;66.963;
29;2570.529;67.485;
30;2638.320;68.126;
31;2706.811;68.885;
32;2776.120;69.762;
33;2846.365;70.756;
34;2917.663;71.870;
35;2990.135;73.104;
36;3063.902;74.461;
37;3139.089;75.945;
38;3215.825;77.560;
39;3294.242;79.310;
40;3374.479;81.200;
41;3456.680;83.238;
42;3540.994;85.431;
43;3627.582;87.786;
44;3716.610;90.314;
45;3808.256;93.024;
46;3902.707;95.928;
47;4000.164;99.040;
48;4100.842;102.373;
49;4204.970;105.944;
50;4312.794;109.771;
51;4424.581;113.874;
52;4540.618;118.276;
53;4661.214;123.002;
54;4786.709;128.079;
55;4917.469;133.540;
56;5053.895;139.421;
57;5196.425;145.760;
58;5345.541;152.604;
59;5501.772;160.003;
60;5665.701;168.015;
61;5837.973;176.707;
62;6019.305;186.155;
63;6210.493;196.443;
64;6412.427;207.743;
65;6626.103;219.360;
