Travel;RW_X;RW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SWL1_1X;SWL1_1Y;SWL1_2X;SWL1_2Y;L1L2_1X;L1L2_1Y;L1L2_2X;L1L2_2Y;FRL2_X;FRL2_Y;
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
10;0.0;236.1;465.4;98.0;-465.4;-98.0;718.1;327.5;-718.1;-327.5;718.1;327.5;-718.1;-563.6;718.1;563.6;-252.7;-465.7;
20;0.0;409.8;790.7;172.7;-790.7;-172.7;1239.0;495.5;-1239.0;-495.5;1239.0;495.5;-1239.0;-905.3;1239.0;905.3;-448.4;-732.6;
30;0.0;559.7;1052.3;238.1;-1052.3;-238.1;1678.3;578.5;-1678.3;-578.5;1678.3;578.5;-1678.3;-1138.2;1678.3;1138.2;-626.1;-900.1;
40;0.0;705.4;1286.0;300.8;-1286.0;-300.8;2092.5;606.7;-2092.5;-606.7;2092.5;606.7;-2092.5;-1312.1;2092.5;1312.1;-806.5;-1011.2;
50;0.0;860.2;1513.2;365.3;-1513.2;-365.3;2518.2;592.6;-2518.2;-592.6;2518.2;592.6;-2518.2;-1452.8;2518.2;1452.8;-1005.0;-1087.4;
60;0.0;1036.8;1750.4;435.4;-1750.4;-435.4;2987.4;538.9;-2987.4;-538.9;2987.4;538.9;-2987.4;-1575.7;2987.4;1575.7;-1237.0;-1140.3;
70;0.0;1250.4;2013.9;515.1;-2013.9;-515.1;3536.5;440.9;-3536.5;-440.9;3536.5;440.9;-3536.5;-1691.3;3536.5;1691.3;-1522.6;-1176.2;
80;0.0;1523.2;2324.7;610.3;-2324.7;-610.3;4216.2;285.1;-4216.2;-285.1;4216.2;285.1;-4216.2;-1808.3;4216.2;1808.3;-1891.5;-1198.0;
90;0.0;1892.1;2714.9;729.9;-2714.9;-729.9;5108.6;43.4;-5108.6;-43.4;5108.6;43.4;-5108.6;-1935.4;5108.6;1935.4;-2393.7;-1205.5;
100;0.0;2425.0;3240.9;889.8;-3240.9;-889.8;6363.4;-341.3;-6363.4;341.3;6363.4;-341.3;-6363.4;-2083.7;6363.4;2083.7;-3122.5;-1193.9;
110;0.0;3266.3;4018.1;1122.2;-4018.1;-1122.2;8294.2;-995.7;-8294.2;995.7;8294.2;-995.7;-8294.2;-2270.6;8294.2;2270.6;-4276.1;-1148.4;
120;0.0;4784.0;5333.7;1507.4;-5333.7;-1507.4;11694.1;-2252.6;-11694.1;2252.6;11694.1;-2252.6;-11694.1;-2531.5;11694.1;2531.5;-6360.4;-1024.1;
130;0.0;8264.0;8169.3;2316.6;-8169.3;-2316.6;19313.2;-5299.4;-19313.2;5299.4;19313.2;-5299.4;-19313.2;-2964.5;19313.2;2964.5;-11143.9;-647.9;
140;0.0;23186.3;19641.5;5505.7;-19641.5;-5505.7;51316.6;-19026.8;-51316.6;19026.8;51316.6;-19026.8;-51316.6;-4159.5;51316.6;4159.5;-31675.1;1346.2;
150;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;

RW = force at Rear Axle on Frame
SHK1 = force at Shock eye 1 on Frame
SHK2 = force at Shock eye 2 on Frame
L1FR = force at First link fix pivot on Frame
SWL1_1 = force at Swingarm/Link pivot on Frame
SWL1_2 = force at Swingarm/Link pivot on Frame
L1L2_1 = force at Rear bar/Rocker pivot on Frame
L1L2_2 = force at Rear bar/Rocker pivot on Frame
FRL2 = force at Second link fix pivot on Frame
