Travel;Shock_curve;Gradient;
0;0.000;120.720;
1;115.420;109.642;
2;219.523;99.183;
3;314.219;90.592;
4;401.056;83.389;
5;481.277;77.302;
6;555.890;72.128;
7;625.722;67.706;
8;691.459;63.911;
9;753.676;60.643;
10;812.857;57.822;
11;869.416;55.384;
12;923.708;53.275;
13;976.038;51.453;
14;1026.676;49.881;
15;1075.855;48.529;
16;1123.783;47.373;
17;1170.644;46.391;
18;1216.604;45.566;
19;1261.812;44.884;
20;1306.404;44.331;
21;1350.504;43.896;
22;1394.225;43.572;
23;1437.674;43.350;
24;1480.949;43.224;
25;1524.145;43.189;
26;1567.348;43.239;
27;1610.644;43.373;
28;1654.113;43.586;
29;1697.834;43.876;
30;1741.884;44.242;
31;1786.338;44.683;
32;1831.269;45.198;
33;1876.753;45.787;
34;1922.862;46.451;
35;1969.673;47.189;
36;2017.260;48.004;
37;2065.701;48.898;
38;2115.076;49.871;
39;2165.464;50.927;
40;2216.951;52.069;
41;2269.624;53.300;
42;2323.575;54.625;
43;2378.899;56.048;
44;2435.696;57.573;
45;2494.073;59.208;
46;2554.141;60.958;
47;2616.020;62.831;
48;2679.836;64.834;
49;2745.724;66.978;
50;2813.828;69.271;
51;2884.305;71.724;
52;2957.321;74.351;
53;3033.055;77.166;
54;3111.702;80.182;
55;3193.474;83.419;
56;3278.599;86.894;
57;3367.327;90.630;
58;3459.930;94.650;
59;3556.706;98.983;
60;3657.982;103.659;
61;3764.118;108.712;
62;3875.511;114.184;
63;3992.601;120.117;
64;4115.875;126.565;
65;4245.874;133.585;
66;4383.205;141.246;
67;4528.547;149.627;
68;4682.661;158.816;
69;4846.409;168.921;
70;5020.764;180.065;
71;5206.836;192.393;
72;5405.891;206.077;
73;5619.381;221.321;
74;5848.985;238.368;
75;6096.645;257.514;
76;6364.630;279.115;
77;6655.601;303.606;
78;6972.704;331.526;
79;7319.682;363.541;
80;7701.028;400.493;
81;8122.178;443.447;
82;8589.779;493.775;
83;9112.037;553.264;
84;9699.213;624.277;
85;10364.303;709.990;
86;11124.013;814.759;
87;12000.192;944.675;
88;13021.971;1108.480;
89;14229.070;1319.069;
90;15677.101;1596.109;
91;17446.391;1970.798;
92;19657.426;2495.022;
93;22499.547;3260.221;
94;26288.314;4439.595;
95;31591.742;6567.183;
96;39545.852;10023.181;
97;50000.000;5383.326;
98;50000.000;2471.616;
99;50000.000;-28125.000;
100;0.000;-28125.000;
101;0.000;3125.000;
102;0.000;0.000;
103;0.000;0.000;
104;0.000;0.000;
105;0.000;0.000;
