Travel;RW_X;RW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SWL1_1X;SWL1_1Y;SWL1_2X;SWL1_2Y;L1L2_1X;L1L2_1Y;L1L2_2X;L1L2_2Y;FRL2_X;FRL2_Y;
-41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
-40;0.0;12.8;30.8;24.8;-30.8;-24.8;29.2;3.2;-29.2;-3.2;29.2;3.2;-29.2;-16.0;29.2;16.0;1.6;8.8;
-30;0.0;138.5;331.6;261.4;-331.6;-261.4;309.1;26.4;-309.1;-26.4;309.1;26.4;-309.1;-164.9;309.1;164.9;22.5;96.5;
-20;0.0;261.9;621.3;480.1;-621.3;-480.1;571.7;34.2;-571.7;-34.2;571.7;34.2;-571.7;-296.1;571.7;296.1;49.7;184.0;
-10;0.0;385.3;904.6;686.1;-904.6;-686.1;824.2;28.5;-824.2;-28.5;824.2;28.5;-824.2;-413.8;824.2;413.8;80.4;272.3;
0;0.0;510.6;1185.5;883.8;-1185.5;-883.8;1072.3;10.1;-1072.3;-10.1;1072.3;10.1;-1072.3;-520.7;1072.3;520.7;113.2;363.1;
10;0.0;639.5;1467.8;1076.9;-1467.8;-1076.9;1320.3;-20.7;-1320.3;20.7;1320.3;-20.7;-1320.3;-618.8;1320.3;618.8;147.5;458.1;
20;0.0;773.8;1755.2;1269.0;-1755.2;-1269.0;1572.1;-64.0;-1572.1;64.0;1572.1;-64.0;-1572.1;-709.8;1572.1;709.8;183.1;559.2;
30;0.0;915.4;2051.7;1463.7;-2051.7;-1463.7;1831.5;-120.5;-1831.5;120.5;1831.5;-120.5;-1831.5;-794.9;1831.5;794.9;220.2;668.7;
40;0.0;1066.1;2361.5;1664.3;-2361.5;-1664.3;2102.1;-191.1;-2102.1;191.1;2102.1;-191.1;-2102.1;-875.0;2102.1;875.0;259.4;789.3;
50;0.0;1228.4;2689.3;1875.0;-2689.3;-1875.0;2388.0;-277.5;-2388.0;277.5;2388.0;-277.5;-2388.0;-950.9;2388.0;950.9;301.3;924.1;
60;0.0;1404.8;3040.8;2100.1;-3040.8;-2100.1;2693.8;-381.5;-2693.8;381.5;2693.8;-381.5;-2693.8;-1023.3;2693.8;1023.3;347.0;1076.9;
70;0.0;1598.7;3422.6;2345.0;-3422.6;-2345.0;3024.6;-506.0;-3024.6;506.0;3024.6;-506.0;-3024.6;-1092.6;3024.6;1092.6;398.0;1252.3;
80;0.0;1814.0;3843.2;2616.0;-3843.2;-2616.0;3386.9;-654.5;-3386.9;654.5;3386.9;-654.5;-3386.9;-1159.5;3386.9;1159.5;456.3;1456.5;
90;0.0;2056.0;4313.0;2921.4;-4313.0;-2921.4;3788.5;-831.7;-3788.5;831.7;3788.5;-831.7;-3788.5;-1224.4;3788.5;1224.4;524.5;1697.1;
100;0.0;2331.3;4845.9;3271.9;-4845.9;-3271.9;4239.7;-1043.8;-4239.7;1043.8;4239.7;-1043.8;-4239.7;-1287.5;4239.7;1287.5;606.3;1984.4;
109;0.0;2614.8;5394.8;3637.6;-5394.8;-3637.6;4699.1;-1271.5;-4699.1;1271.5;4699.1;-1271.5;-4699.1;-1343.3;4699.1;1343.3;695.7;2294.3;

RW = force at Rear Axle on Frame
SHK1 = force at Shock eye 1 on Frame
SHK2 = force at Shock eye 2 on Frame
L1FR = force at First link fix pivot on Frame
SWL1_1 = force at Swingarm/Link pivot on Frame
SWL1_2 = force at Swingarm/Link pivot on Frame
L1L2_1 = force at Rear bar/Rocker pivot on Frame
L1L2_2 = force at Rear bar/Rocker pivot on Frame
FRL2 = force at Rocker fix pivot on Frame
