Travel;Shock_curve;Gradient;
0;0.000;123.080;
1;121.651;120.185;
2;240.388;117.327;
3;356.355;114.679;
4;469.806;112.282;
5;580.977;110.113;
6;690.085;108.155;
7;797.337;106.396;
8;902.924;104.822;
9;1007.026;103.424;
10;1109.814;102.192;
11;1211.448;101.116;
12;1312.084;100.191;
13;1411.866;99.409;
14;1510.936;98.764;
15;1609.428;98.252;
16;1707.473;97.869;
17;1805.197;97.610;
18;1902.723;97.472;
19;2000.171;97.453;
20;2097.658;97.551;
21;2195.302;97.765;
22;2293.217;98.093;
23;2391.518;98.535;
24;2490.317;99.091;
25;2589.729;99.762;
26;2689.869;100.547;
27;2790.852;101.449;
28;2892.796;102.468;
29;2995.819;103.608;
30;3100.042;104.871;
31;3205.592;106.259;
32;3312.594;107.778;
33;3421.181;109.430;
34;3531.488;111.221;
35;3643.658;113.155;
36;3757.836;115.240;
37;3874.176;117.480;
38;3992.838;119.885;
39;4113.989;122.461;
40;4237.806;125.219;
41;4364.474;128.167;
42;4494.189;131.316;
43;4627.160;134.680;
44;4763.606;138.270;
45;4903.761;142.102;
46;5047.874;146.191;
47;5196.213;150.556;
48;5349.060;155.215;
49;5506.722;160.191;
50;5669.527;165.506;
51;5837.827;171.189;
52;6012.003;177.267;
53;6192.467;183.773;
54;6379.664;190.776;
55;6574.079;197.933;
