Travel;RW_X;RW_Y;SHK1_X;SHK1_Y;SHK2_X;SHK2_Y;L1FR_X;L1FR_Y;SWL1_1X;SWL1_1Y;SWL1_2X;SWL1_2Y;L1L2_X;L1L2_Y;
0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;
10;0.0;119.6;283.6;123.2;-283.6;-123.2;-47.7;-68.4;331.3;191.7;-331.3;-191.7;331.3;72.0;
20;0.0;241.3;568.7;247.6;-568.7;-247.6;-111.6;-141.6;680.3;389.2;-680.3;-389.2;680.3;147.9;
30;0.0;365.1;855.0;373.6;-855.0;-373.6;-192.9;-219.2;1047.8;592.9;-1047.8;-592.9;1047.8;227.8;
40;0.0;491.0;1142.2;502.1;-1142.2;-502.1;-292.9;-300.9;1435.1;803.0;-1435.1;-803.0;1435.1;312.0;
50;0.0;619.3;1430.0;633.7;-1430.0;-633.7;-413.4;-386.4;1843.4;1020.0;-1843.4;-1020.0;1843.4;400.7;
60;0.0;750.0;1718.2;769.3;-1718.2;-769.3;-556.1;-475.2;2274.3;1244.4;-2274.3;-1244.4;2274.3;494.4;
70;0.0;883.4;2006.3;909.9;-2006.3;-909.9;-723.6;-567.0;2729.9;1476.9;-2729.9;-1476.9;2729.9;593.5;
80;0.0;1019.9;2293.8;1056.8;-2293.8;-1056.8;-918.8;-661.5;3212.6;1718.3;-3212.6;-1718.3;3212.6;698.4;
90;0.0;1159.9;2580.4;1211.3;-2580.4;-1211.3;-1145.5;-758.5;3725.8;1969.8;-3725.8;-1969.8;3725.8;810.0;
100;0.0;1304.1;2865.1;1375.3;-2865.1;-1375.3;-1409.0;-858.0;4274.1;2233.2;-4274.1;-2233.2;4274.1;929.2;
110;0.0;1453.6;3147.2;1550.9;-3147.2;-1550.9;-1716.8;-960.1;4864.0;2511.1;-4864.0;-2511.1;4864.0;1057.4;
120;0.0;1610.5;3425.4;1741.3;-3425.4;-1741.3;-2080.2;-1066.1;5505.6;2807.4;-5505.6;-2807.4;5505.6;1196.9;
130;0.0;1778.0;3698.1;1950.5;-3698.1;-1950.5;-2518.2;-1178.9;6216.3;3129.4;-6216.3;-3129.4;6216.3;1351.4;
140;0.0;1963.5;3962.6;2185.1;-3962.6;-2185.1;-3066.9;-1306.6;7029.5;3491.7;-7029.5;-3491.7;7029.5;1528.2;
150;0.0;2185.1;4214.3;2456.7;-4214.3;-2456.7;-3811.6;-1473.2;8025.9;3929.9;-8025.9;-3929.9;8025.9;1744.8;
160;0.0;2510.7;4443.2;2791.6;-4443.2;-2791.6;-5050.4;-1783.0;9493.7;4574.6;-9493.7;-4574.6;9493.7;2063.9;

RW = force at Rear Axle on Frame
SHK1 = force at Shock eye 1 on Frame
SHK2 = force at Shock eye 2 on Frame
L1FR = force at First link fix pivot on Frame
SWL1_1 = force at Rear triangle/Link pivot on Frame
SWL1_2 = force at Rear triangle/Link pivot on Frame
L1L2 = force at Rear triangle/Slider pivot on Frame
