Travel;Shock_curve;Gradient;
0;0.000;80.170;
1;80.170;80.170;
2;160.340;80.170;
3;240.509;80.170;
4;320.679;80.170;
5;400.849;80.170;
6;481.019;80.170;
7;561.188;80.170;
8;641.358;80.170;
9;721.528;80.170;
10;801.698;80.170;
11;881.868;80.170;
12;962.037;80.170;
13;1042.207;80.170;
14;1122.377;80.170;
15;1202.547;80.170;
16;1282.716;80.170;
17;1362.886;80.170;
18;1443.056;80.170;
19;1523.226;80.170;
20;1603.395;80.170;
21;1683.565;80.170;
22;1763.735;80.170;
23;1843.905;80.170;
24;1924.075;80.170;
25;2004.244;80.170;
26;2084.414;80.170;
27;2164.584;80.170;
28;2244.754;80.170;
29;2324.923;80.170;
30;2405.093;80.170;
31;2485.263;80.170;
32;2565.433;80.170;
33;2645.603;80.170;
34;2725.772;80.170;
35;2805.942;80.170;
36;2886.112;80.170;
37;2966.282;80.170;
38;3046.451;80.170;
39;3126.621;80.170;
40;3206.791;80.170;
41;3286.961;80.170;
42;3367.131;80.170;
43;3447.300;80.170;
44;3527.470;80.170;
45;3607.640;80.170;
46;3687.810;80.170;
47;3767.979;80.170;
48;3848.149;80.170;
49;3928.319;80.170;
50;4008.489;80.170;
51;4088.659;80.170;
52;4168.828;80.170;
53;4248.998;80.170;
54;4329.168;80.170;
55;4409.338;80.170;
56;4489.507;80.170;
57;4569.677;80.170;
58;4649.847;80.170;
59;4730.017;80.170;
60;4810.186;80.170;
61;4890.356;80.170;
62;4970.526;80.170;
63;5050.696;80.170;
64;5130.866;80.170;
65;5211.035;80.170;
